indicator,category,units,period_date,value
Occupancy,Statewide- All,percent,2013-05-01,72.1
Occupancy,Oahu- All,percent,2013-05-01,80.6
Occupancy,Maui CTY- All,percent,2013-05-01,66.2
Occupancy,Hawaii ISL- All,percent,2013-05-01,52.5
Occupancy,Kauai- All,percent,2013-05-01,67.0
Occupancy,Statewide- Luxury,percent,2013-05-01,
Occupancy,Waikiki,percent,2013-05-01,
Occupancy,Wailea,percent,2013-05-01,
Occupancy,Kohala Coast,percent,2013-05-01,
Occupancy,Statewide- Upper Upscale,percent,2013-05-01,
Occupancy,Other Oahu,percent,2013-05-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-05-01,
Occupancy,Statewide- Upscale,percent,2013-05-01,
Occupancy,Oahu- Luxury,percent,2013-05-01,
Occupancy,Other Maui CTY,percent,2013-05-01,
Occupancy,Statewide- Upper Midscale,percent,2013-05-01,
Occupancy,Oahu- Upper Upscale,percent,2013-05-01,
Occupancy,Maui CTY- Luxury,percent,2013-05-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-05-01,
Occupancy,Oahu- Upscale,percent,2013-05-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-05-01,
Occupancy,Oahu- Upper Midscale,percent,2013-05-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-05-01,
Avg daily rate,Statewide- All,dollar,2013-05-01,210.41
Avg daily rate,Oahu- All,dollar,2013-05-01,196.77
Avg daily rate,Maui CTY- All,dollar,2013-05-01,253.25
Avg daily rate,Hawaii ISL- All,dollar,2013-05-01,195.4
Avg daily rate,Kauai- All,dollar,2013-05-01,218.18
Avg daily rate,Statewide- Luxury,dollar,2013-05-01,
Avg daily rate,Waikiki,dollar,2013-05-01,
Avg daily rate,Wailea,dollar,2013-05-01,
Avg daily rate,Kohala Coast,dollar,2013-05-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-05-01,
Avg daily rate,Other Oahu,dollar,2013-05-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-05-01,
Avg daily rate,Statewide- Upscale,dollar,2013-05-01,
Avg daily rate,Oahu- Luxury,dollar,2013-05-01,
Avg daily rate,Other Maui CTY,dollar,2013-05-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-05-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-05-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-05-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-05-01,
Avg daily rate,Oahu- Upscale,dollar,2013-05-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-05-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-05-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-05-01,
RevPAR,Statewide- All,dollar,2013-05-01,151.71
RevPAR,Oahu- All,dollar,2013-05-01,158.6
RevPAR,Maui CTY- All,dollar,2013-05-01,167.65
RevPAR,Hawaii ISL- All,dollar,2013-05-01,102.59
RevPAR,Kauai- All,dollar,2013-05-01,146.18
RevPAR,Statewide- Luxury,dollar,2013-05-01,
RevPAR,Waikiki,dollar,2013-05-01,
RevPAR,Wailea,dollar,2013-05-01,
RevPAR,Kohala Coast,dollar,2013-05-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-05-01,
RevPAR,Other Oahu,dollar,2013-05-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2013-05-01,
RevPAR,Statewide- Upscale,dollar,2013-05-01,
RevPAR,Oahu- Luxury,dollar,2013-05-01,
RevPAR,Other Maui CTY,dollar,2013-05-01,
RevPAR,Statewide- Upper Midscale,dollar,2013-05-01,
RevPAR,Oahu- Upper Upscale,dollar,2013-05-01,
RevPAR,Maui CTY- Luxury,dollar,2013-05-01,
RevPAR,Statewide- Midscale & Economy,dollar,2013-05-01,
RevPAR,Oahu- Upscale,dollar,2013-05-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2013-05-01,
RevPAR,Oahu- Upper Midscale,dollar,2013-05-01,
RevPAR,Oahu- Midscale & Economy,dollar,2013-05-01,
Occupancy,Statewide- All,percent,2013-06-01,75.8
Occupancy,Oahu- All,percent,2013-06-01,84.4
Occupancy,Maui CTY- All,percent,2013-06-01,69.6
Occupancy,Hawaii ISL- All,percent,2013-06-01,57.6
Occupancy,Kauai- All,percent,2013-06-01,67.0
Occupancy,Statewide- Luxury,percent,2013-06-01,
Occupancy,Waikiki,percent,2013-06-01,
Occupancy,Wailea,percent,2013-06-01,
Occupancy,Kohala Coast,percent,2013-06-01,
Occupancy,Statewide- Upper Upscale,percent,2013-06-01,
Occupancy,Other Oahu,percent,2013-06-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-06-01,
Occupancy,Statewide- Upscale,percent,2013-06-01,
Occupancy,Oahu- Luxury,percent,2013-06-01,
Occupancy,Other Maui CTY,percent,2013-06-01,
Occupancy,Statewide- Upper Midscale,percent,2013-06-01,
Occupancy,Oahu- Upper Upscale,percent,2013-06-01,
Occupancy,Maui CTY- Luxury,percent,2013-06-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-06-01,
Occupancy,Oahu- Upscale,percent,2013-06-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-06-01,
Occupancy,Oahu- Upper Midscale,percent,2013-06-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-06-01,
Avg daily rate,Statewide- All,dollar,2013-06-01,228.38
Avg daily rate,Oahu- All,dollar,2013-06-01,209.54
Avg daily rate,Maui CTY- All,dollar,2013-06-01,288.8
Avg daily rate,Hawaii ISL- All,dollar,2013-06-01,211.74
Avg daily rate,Kauai- All,dollar,2013-06-01,230.75
Avg daily rate,Statewide- Luxury,dollar,2013-06-01,
Avg daily rate,Waikiki,dollar,2013-06-01,
Avg daily rate,Wailea,dollar,2013-06-01,
Avg daily rate,Kohala Coast,dollar,2013-06-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-06-01,
Avg daily rate,Other Oahu,dollar,2013-06-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-06-01,
Avg daily rate,Statewide- Upscale,dollar,2013-06-01,
Avg daily rate,Oahu- Luxury,dollar,2013-06-01,
Avg daily rate,Other Maui CTY,dollar,2013-06-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-06-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-06-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-06-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-06-01,
Avg daily rate,Oahu- Upscale,dollar,2013-06-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-06-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-06-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-06-01,
RevPAR,Statewide- All,dollar,2013-06-01,173.11
RevPAR,Oahu- All,dollar,2013-06-01,176.85
RevPAR,Maui CTY- All,dollar,2013-06-01,201.0
RevPAR,Hawaii ISL- All,dollar,2013-06-01,121.96
RevPAR,Kauai- All,dollar,2013-06-01,154.6
RevPAR,Statewide- Luxury,dollar,2013-06-01,
RevPAR,Waikiki,dollar,2013-06-01,
RevPAR,Wailea,dollar,2013-06-01,
RevPAR,Kohala Coast,dollar,2013-06-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-06-01,
RevPAR,Other Oahu,dollar,2013-06-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2013-06-01,
RevPAR,Statewide- Upscale,dollar,2013-06-01,
RevPAR,Oahu- Luxury,dollar,2013-06-01,
RevPAR,Other Maui CTY,dollar,2013-06-01,
RevPAR,Statewide- Upper Midscale,dollar,2013-06-01,
RevPAR,Oahu- Upper Upscale,dollar,2013-06-01,
RevPAR,Maui CTY- Luxury,dollar,2013-06-01,
RevPAR,Statewide- Midscale & Economy,dollar,2013-06-01,
RevPAR,Oahu- Upscale,dollar,2013-06-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2013-06-01,
RevPAR,Oahu- Upper Midscale,dollar,2013-06-01,
RevPAR,Oahu- Midscale & Economy,dollar,2013-06-01,
Occupancy,Statewide- All,percent,2013-07-01,79.1
Occupancy,Oahu- All,percent,2013-07-01,87.5
Occupancy,Maui CTY- All,percent,2013-07-01,73.6
Occupancy,Hawaii ISL- All,percent,2013-07-01,59.8
Occupancy,Kauai- All,percent,2013-07-01,72.7
Occupancy,Statewide- Luxury,percent,2013-07-01,
Occupancy,Waikiki,percent,2013-07-01,
Occupancy,Wailea,percent,2013-07-01,
Occupancy,Kohala Coast,percent,2013-07-01,
Occupancy,Statewide- Upper Upscale,percent,2013-07-01,
Occupancy,Other Oahu,percent,2013-07-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-07-01,
Occupancy,Statewide- Upscale,percent,2013-07-01,
Occupancy,Oahu- Luxury,percent,2013-07-01,
Occupancy,Other Maui CTY,percent,2013-07-01,
Occupancy,Statewide- Upper Midscale,percent,2013-07-01,
Occupancy,Oahu- Upper Upscale,percent,2013-07-01,
Occupancy,Maui CTY- Luxury,percent,2013-07-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-07-01,
Occupancy,Oahu- Upscale,percent,2013-07-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-07-01,
Occupancy,Oahu- Upper Midscale,percent,2013-07-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-07-01,
Avg daily rate,Statewide- All,dollar,2013-07-01,245.17
Avg daily rate,Oahu- All,dollar,2013-07-01,221.8
Avg daily rate,Maui CTY- All,dollar,2013-07-01,318.48
Avg daily rate,Hawaii ISL- All,dollar,2013-07-01,225.66
Avg daily rate,Kauai- All,dollar,2013-07-01,247.56
Avg daily rate,Statewide- Luxury,dollar,2013-07-01,
Avg daily rate,Waikiki,dollar,2013-07-01,
Avg daily rate,Wailea,dollar,2013-07-01,
Avg daily rate,Kohala Coast,dollar,2013-07-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-07-01,
Avg daily rate,Other Oahu,dollar,2013-07-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-07-01,
Avg daily rate,Statewide- Upscale,dollar,2013-07-01,
Avg daily rate,Oahu- Luxury,dollar,2013-07-01,
Avg daily rate,Other Maui CTY,dollar,2013-07-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-07-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-07-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-07-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-07-01,
Avg daily rate,Oahu- Upscale,dollar,2013-07-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-07-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-07-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-07-01,
RevPAR,Statewide- All,dollar,2013-07-01,193.93
RevPAR,Oahu- All,dollar,2013-07-01,194.08
RevPAR,Maui CTY- All,dollar,2013-07-01,234.4
RevPAR,Hawaii ISL- All,dollar,2013-07-01,134.94
RevPAR,Kauai- All,dollar,2013-07-01,179.98
RevPAR,Statewide- Luxury,dollar,2013-07-01,
RevPAR,Waikiki,dollar,2013-07-01,
RevPAR,Wailea,dollar,2013-07-01,
RevPAR,Kohala Coast,dollar,2013-07-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-07-01,
RevPAR,Other Oahu,dollar,2013-07-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2013-07-01,
RevPAR,Statewide- Upscale,dollar,2013-07-01,
RevPAR,Oahu- Luxury,dollar,2013-07-01,
RevPAR,Other Maui CTY,dollar,2013-07-01,
RevPAR,Statewide- Upper Midscale,dollar,2013-07-01,
RevPAR,Oahu- Upper Upscale,dollar,2013-07-01,
RevPAR,Maui CTY- Luxury,dollar,2013-07-01,
RevPAR,Statewide- Midscale & Economy,dollar,2013-07-01,
RevPAR,Oahu- Upscale,dollar,2013-07-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2013-07-01,
RevPAR,Oahu- Upper Midscale,dollar,2013-07-01,
RevPAR,Oahu- Midscale & Economy,dollar,2013-07-01,
Occupancy,Statewide- All,percent,2013-08-01,80.6
Occupancy,Oahu- All,percent,2013-08-01,89.4
Occupancy,Maui CTY- All,percent,2013-08-01,73.3
Occupancy,Hawaii ISL- All,percent,2013-08-01,62.8
Occupancy,Kauai- All,percent,2013-08-01,74.1
Occupancy,Statewide- Luxury,percent,2013-08-01,
Occupancy,Waikiki,percent,2013-08-01,
Occupancy,Wailea,percent,2013-08-01,
Occupancy,Kohala Coast,percent,2013-08-01,
Occupancy,Statewide- Upper Upscale,percent,2013-08-01,
Occupancy,Other Oahu,percent,2013-08-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-08-01,
Occupancy,Statewide- Upscale,percent,2013-08-01,
Occupancy,Oahu- Luxury,percent,2013-08-01,
Occupancy,Other Maui CTY,percent,2013-08-01,
Occupancy,Statewide- Upper Midscale,percent,2013-08-01,
Occupancy,Oahu- Upper Upscale,percent,2013-08-01,
Occupancy,Maui CTY- Luxury,percent,2013-08-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-08-01,
Occupancy,Oahu- Upscale,percent,2013-08-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-08-01,
Occupancy,Oahu- Upper Midscale,percent,2013-08-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-08-01,
Avg daily rate,Statewide- All,dollar,2013-08-01,243.33
Avg daily rate,Oahu- All,dollar,2013-08-01,224.21
Avg daily rate,Maui CTY- All,dollar,2013-08-01,301.97
Avg daily rate,Hawaii ISL- All,dollar,2013-08-01,235.07
Avg daily rate,Kauai- All,dollar,2013-08-01,242.79
Avg daily rate,Statewide- Luxury,dollar,2013-08-01,
Avg daily rate,Waikiki,dollar,2013-08-01,
Avg daily rate,Wailea,dollar,2013-08-01,
Avg daily rate,Kohala Coast,dollar,2013-08-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-08-01,
Avg daily rate,Other Oahu,dollar,2013-08-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-08-01,
Avg daily rate,Statewide- Upscale,dollar,2013-08-01,
Avg daily rate,Oahu- Luxury,dollar,2013-08-01,
Avg daily rate,Other Maui CTY,dollar,2013-08-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-08-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-08-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-08-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-08-01,
Avg daily rate,Oahu- Upscale,dollar,2013-08-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-08-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-08-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-08-01,
RevPAR,Statewide- All,dollar,2013-08-01,196.12
RevPAR,Oahu- All,dollar,2013-08-01,200.44
RevPAR,Maui CTY- All,dollar,2013-08-01,221.34
RevPAR,Hawaii ISL- All,dollar,2013-08-01,147.62
RevPAR,Kauai- All,dollar,2013-08-01,179.91
RevPAR,Statewide- Luxury,dollar,2013-08-01,
RevPAR,Waikiki,dollar,2013-08-01,
RevPAR,Wailea,dollar,2013-08-01,
RevPAR,Kohala Coast,dollar,2013-08-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-08-01,
RevPAR,Other Oahu,dollar,2013-08-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2013-08-01,
RevPAR,Statewide- Upscale,dollar,2013-08-01,
RevPAR,Oahu- Luxury,dollar,2013-08-01,
RevPAR,Other Maui CTY,dollar,2013-08-01,
RevPAR,Statewide- Upper Midscale,dollar,2013-08-01,
RevPAR,Oahu- Upper Upscale,dollar,2013-08-01,
RevPAR,Maui CTY- Luxury,dollar,2013-08-01,
RevPAR,Statewide- Midscale & Economy,dollar,2013-08-01,
RevPAR,Oahu- Upscale,dollar,2013-08-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2013-08-01,
RevPAR,Oahu- Upper Midscale,dollar,2013-08-01,
RevPAR,Oahu- Midscale & Economy,dollar,2013-08-01,
Occupancy,Statewide- All,percent,2013-09-01,73.7
Occupancy,Oahu- All,percent,2013-09-01,84.1
Occupancy,Maui CTY- All,percent,2013-09-01,63.5
Occupancy,Hawaii ISL- All,percent,2013-09-01,53.3
Occupancy,Kauai- All,percent,2013-09-01,68.6
Occupancy,Statewide- Luxury,percent,2013-09-01,
Occupancy,Waikiki,percent,2013-09-01,
Occupancy,Wailea,percent,2013-09-01,
Occupancy,Kohala Coast,percent,2013-09-01,
Occupancy,Statewide- Upper Upscale,percent,2013-09-01,
Occupancy,Other Oahu,percent,2013-09-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-09-01,
Occupancy,Statewide- Upscale,percent,2013-09-01,
Occupancy,Oahu- Luxury,percent,2013-09-01,
Occupancy,Other Maui CTY,percent,2013-09-01,
Occupancy,Statewide- Upper Midscale,percent,2013-09-01,
Occupancy,Oahu- Upper Upscale,percent,2013-09-01,
Occupancy,Maui CTY- Luxury,percent,2013-09-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-09-01,
Occupancy,Oahu- Upscale,percent,2013-09-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-09-01,
Occupancy,Oahu- Upper Midscale,percent,2013-09-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-09-01,
Avg daily rate,Statewide- All,dollar,2013-09-01,209.97
Avg daily rate,Oahu- All,dollar,2013-09-01,203.69
Avg daily rate,Maui CTY- All,dollar,2013-09-01,240.29
Avg daily rate,Hawaii ISL- All,dollar,2013-09-01,187.08
Avg daily rate,Kauai- All,dollar,2013-09-01,209.63
Avg daily rate,Statewide- Luxury,dollar,2013-09-01,
Avg daily rate,Waikiki,dollar,2013-09-01,
Avg daily rate,Wailea,dollar,2013-09-01,
Avg daily rate,Kohala Coast,dollar,2013-09-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-09-01,
Avg daily rate,Other Oahu,dollar,2013-09-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-09-01,
Avg daily rate,Statewide- Upscale,dollar,2013-09-01,
Avg daily rate,Oahu- Luxury,dollar,2013-09-01,
Avg daily rate,Other Maui CTY,dollar,2013-09-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-09-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-09-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-09-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-09-01,
Avg daily rate,Oahu- Upscale,dollar,2013-09-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-09-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-09-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-09-01,
RevPAR,Statewide- All,dollar,2013-09-01,154.75
RevPAR,Oahu- All,dollar,2013-09-01,171.3
RevPAR,Maui CTY- All,dollar,2013-09-01,152.58
RevPAR,Hawaii ISL- All,dollar,2013-09-01,99.71
RevPAR,Kauai- All,dollar,2013-09-01,143.81
RevPAR,Statewide- Luxury,dollar,2013-09-01,
RevPAR,Waikiki,dollar,2013-09-01,
RevPAR,Wailea,dollar,2013-09-01,
RevPAR,Kohala Coast,dollar,2013-09-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-09-01,
RevPAR,Other Oahu,dollar,2013-09-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2013-09-01,
RevPAR,Statewide- Upscale,dollar,2013-09-01,
RevPAR,Oahu- Luxury,dollar,2013-09-01,
RevPAR,Other Maui CTY,dollar,2013-09-01,
RevPAR,Statewide- Upper Midscale,dollar,2013-09-01,
RevPAR,Oahu- Upper Upscale,dollar,2013-09-01,
RevPAR,Maui CTY- Luxury,dollar,2013-09-01,
RevPAR,Statewide- Midscale & Economy,dollar,2013-09-01,
RevPAR,Oahu- Upscale,dollar,2013-09-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2013-09-01,
RevPAR,Oahu- Upper Midscale,dollar,2013-09-01,
RevPAR,Oahu- Midscale & Economy,dollar,2013-09-01,
Occupancy,Statewide- All,percent,2013-10-01,72.9
Occupancy,Oahu- All,percent,2013-10-01,80.7
Occupancy,Maui CTY- All,percent,2013-10-01,65.7
Occupancy,Hawaii ISL- All,percent,2013-10-01,57.2
Occupancy,Kauai- All,percent,2013-10-01,68.9
Occupancy,Statewide- Luxury,percent,2013-10-01,
Occupancy,Waikiki,percent,2013-10-01,
Occupancy,Wailea,percent,2013-10-01,
Occupancy,Kohala Coast,percent,2013-10-01,
Occupancy,Statewide- Upper Upscale,percent,2013-10-01,
Occupancy,Other Oahu,percent,2013-10-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-10-01,
Occupancy,Statewide- Upscale,percent,2013-10-01,
Occupancy,Oahu- Luxury,percent,2013-10-01,
Occupancy,Other Maui CTY,percent,2013-10-01,
Occupancy,Statewide- Upper Midscale,percent,2013-10-01,
Occupancy,Oahu- Upper Upscale,percent,2013-10-01,
Occupancy,Maui CTY- Luxury,percent,2013-10-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-10-01,
Occupancy,Oahu- Upscale,percent,2013-10-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-10-01,
Occupancy,Oahu- Upper Midscale,percent,2013-10-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-10-01,
Avg daily rate,Statewide- All,dollar,2013-10-01,211.54
Avg daily rate,Oahu- All,dollar,2013-10-01,201.7
Avg daily rate,Maui CTY- All,dollar,2013-10-01,244.79
Avg daily rate,Hawaii ISL- All,dollar,2013-10-01,199.58
Avg daily rate,Kauai- All,dollar,2013-10-01,212.86
Avg daily rate,Statewide- Luxury,dollar,2013-10-01,
Avg daily rate,Waikiki,dollar,2013-10-01,
Avg daily rate,Wailea,dollar,2013-10-01,
Avg daily rate,Kohala Coast,dollar,2013-10-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-10-01,
Avg daily rate,Other Oahu,dollar,2013-10-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-10-01,
Avg daily rate,Statewide- Upscale,dollar,2013-10-01,
Avg daily rate,Oahu- Luxury,dollar,2013-10-01,
Avg daily rate,Other Maui CTY,dollar,2013-10-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-10-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-10-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-10-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-10-01,
Avg daily rate,Oahu- Upscale,dollar,2013-10-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-10-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-10-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-10-01,
RevPAR,Statewide- All,dollar,2013-10-01,154.21
RevPAR,Oahu- All,dollar,2013-10-01,162.77
RevPAR,Maui CTY- All,dollar,2013-10-01,160.83
RevPAR,Hawaii ISL- All,dollar,2013-10-01,114.16
RevPAR,Kauai- All,dollar,2013-10-01,146.66
RevPAR,Statewide- Luxury,dollar,2013-10-01,
RevPAR,Waikiki,dollar,2013-10-01,
RevPAR,Wailea,dollar,2013-10-01,
RevPAR,Kohala Coast,dollar,2013-10-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-10-01,
RevPAR,Other Oahu,dollar,2013-10-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2013-10-01,
RevPAR,Statewide- Upscale,dollar,2013-10-01,
RevPAR,Oahu- Luxury,dollar,2013-10-01,
RevPAR,Other Maui CTY,dollar,2013-10-01,
RevPAR,Statewide- Upper Midscale,dollar,2013-10-01,
RevPAR,Oahu- Upper Upscale,dollar,2013-10-01,
RevPAR,Maui CTY- Luxury,dollar,2013-10-01,
RevPAR,Statewide- Midscale & Economy,dollar,2013-10-01,
RevPAR,Oahu- Upscale,dollar,2013-10-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2013-10-01,
RevPAR,Oahu- Upper Midscale,dollar,2013-10-01,
RevPAR,Oahu- Midscale & Economy,dollar,2013-10-01,
Occupancy,Statewide- All,percent,2013-11-01,71.3
Occupancy,Oahu- All,percent,2013-11-01,79.1
Occupancy,Maui CTY- All,percent,2013-11-01,66.4
Occupancy,Hawaii ISL- All,percent,2013-11-01,54.4
Occupancy,Kauai- All,percent,2013-11-01,63.0
Occupancy,Statewide- Luxury,percent,2013-11-01,
Occupancy,Waikiki,percent,2013-11-01,
Occupancy,Wailea,percent,2013-11-01,
Occupancy,Kohala Coast,percent,2013-11-01,
Occupancy,Statewide- Upper Upscale,percent,2013-11-01,
Occupancy,Other Oahu,percent,2013-11-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2013-11-01,
Occupancy,Statewide- Upscale,percent,2013-11-01,
Occupancy,Oahu- Luxury,percent,2013-11-01,
Occupancy,Other Maui CTY,percent,2013-11-01,
Occupancy,Statewide- Upper Midscale,percent,2013-11-01,
Occupancy,Oahu- Upper Upscale,percent,2013-11-01,
Occupancy,Maui CTY- Luxury,percent,2013-11-01,
Occupancy,Statewide- Midscale & Economy,percent,2013-11-01,
Occupancy,Oahu- Upscale,percent,2013-11-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2013-11-01,
Occupancy,Oahu- Upper Midscale,percent,2013-11-01,
Occupancy,Oahu- Midscale & Economy,percent,2013-11-01,
Avg daily rate,Statewide- All,dollar,2013-11-01,211.32
Avg daily rate,Oahu- All,dollar,2013-11-01,197.89
Avg daily rate,Maui CTY- All,dollar,2013-11-01,253.38
Avg daily rate,Hawaii ISL- All,dollar,2013-11-01,202.56
Avg daily rate,Kauai- All,dollar,2013-11-01,206.95
Avg daily rate,Statewide- Luxury,dollar,2013-11-01,
Avg daily rate,Waikiki,dollar,2013-11-01,
Avg daily rate,Wailea,dollar,2013-11-01,
Avg daily rate,Kohala Coast,dollar,2013-11-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2013-11-01,
Avg daily rate,Other Oahu,dollar,2013-11-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2013-11-01,
Avg daily rate,Statewide- Upscale,dollar,2013-11-01,
Avg daily rate,Oahu- Luxury,dollar,2013-11-01,
Avg daily rate,Other Maui CTY,dollar,2013-11-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2013-11-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2013-11-01,
Avg daily rate,Maui CTY- Luxury,dollar,2013-11-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2013-11-01,
Avg daily rate,Oahu- Upscale,dollar,2013-11-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2013-11-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2013-11-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2013-11-01,
RevPAR,Statewide- All,dollar,2013-11-01,150.67
RevPAR,Oahu- All,dollar,2013-11-01,156.53
RevPAR,Maui CTY- All,dollar,2013-11-01,168.24
RevPAR,Hawaii ISL- All,dollar,2013-11-01,110.19
RevPAR,Kauai- All,dollar,2013-11-01,130.38
RevPAR,Statewide- Luxury,dollar,2013-11-01,
RevPAR,Waikiki,dollar,2013-11-01,
RevPAR,Wailea,dollar,2013-11-01,
RevPAR,Kohala Coast,dollar,2013-11-01,
RevPAR,Statewide- Upper Upscale,dollar,2013-11-01,
RevPAR,Other Oahu,dollar,2013-11-01,
