indicator,category,units,period_date,value
Occupancy,Statewide- Midscale & Economy,percent,2009-03-01,
Occupancy,Oahu- Upscale,percent,2009-03-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-03-01,
Occupancy,Oahu- Upper Midscale,percent,2009-03-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-03-01,
Avg daily rate,Statewide- All,dollar,2009-03-01,182.83
Avg daily rate,Oahu- All,dollar,2009-03-01,148.14
Avg daily rate,Maui CTY- All,dollar,2009-03-01,254.27
Avg daily rate,Hawaii ISL- All,dollar,2009-03-01,189.25
Avg daily rate,Kauai- All,dollar,2009-03-01,194.71
Avg daily rate,Statewide- Luxury,dollar,2009-03-01,
Avg daily rate,Waikiki,dollar,2009-03-01,
Avg daily rate,Wailea,dollar,2009-03-01,
Avg daily rate,Kohala Coast,dollar,2009-03-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2009-03-01,
Avg daily rate,Other Oahu,dollar,2009-03-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2009-03-01,
Avg daily rate,Statewide- Upscale,dollar,2009-03-01,
Avg daily rate,Oahu- Luxury,dollar,2009-03-01,
Avg daily rate,Other Maui CTY,dollar,2009-03-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2009-03-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2009-03-01,
Avg daily rate,Maui CTY- Luxury,dollar,2009-03-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2009-03-01,
Avg daily rate,Oahu- Upscale,dollar,2009-03-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2009-03-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2009-03-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2009-03-01,
RevPAR,Statewide- All,dollar,2009-03-01,119.21
RevPAR,Oahu- All,dollar,2009-03-01,103.11
RevPAR,Maui CTY- All,dollar,2009-03-01,159.43
RevPAR,Hawaii ISL- All,dollar,2009-03-01,107.68
RevPAR,Kauai- All,dollar,2009-03-01,119.75
RevPAR,Statewide- Luxury,dollar,2009-03-01,
RevPAR,Waikiki,dollar,2009-03-01,
RevPAR,Wailea,dollar,2009-03-01,
RevPAR,Kohala Coast,dollar,2009-03-01,
RevPAR,Statewide- Upper Upscale,dollar,2009-03-01,
RevPAR,Other Oahu,dollar,2009-03-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2009-03-01,
RevPAR,Statewide- Upscale,dollar,2009-03-01,
RevPAR,Oahu- Luxury,dollar,2009-03-01,
RevPAR,Other Maui CTY,dollar,2009-03-01,
RevPAR,Statewide- Upper Midscale,dollar,2009-03-01,
RevPAR,Oahu- Upper Upscale,dollar,2009-03-01,
RevPAR,Maui CTY- Luxury,dollar,2009-03-01,
RevPAR,Statewide- Midscale & Economy,dollar,2009-03-01,
RevPAR,Oahu- Upscale,dollar,2009-03-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2009-03-01,
RevPAR,Oahu- Upper Midscale,dollar,2009-03-01,
RevPAR,Oahu- Midscale & Economy,dollar,2009-03-01,
Occupancy,Statewide- All,percent,2009-04-01,62.8
Occupancy,Oahu- All,percent,2009-04-01,70.1
Occupancy,Maui CTY- All,percent,2009-04-01,56.2
Occupancy,Hawaii ISL- All,percent,2009-04-01,54.3
Occupancy,Kauai- All,percent,2009-04-01,54.1
Occupancy,Statewide- Luxury,percent,2009-04-01,
Occupancy,Waikiki,percent,2009-04-01,
Occupancy,Wailea,percent,2009-04-01,
Occupancy,Kohala Coast,percent,2009-04-01,
Occupancy,Statewide- Upper Upscale,percent,2009-04-01,
Occupancy,Other Oahu,percent,2009-04-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2009-04-01,
Occupancy,Statewide- Upscale,percent,2009-04-01,
Occupancy,Oahu- Luxury,percent,2009-04-01,
Occupancy,Other Maui CTY,percent,2009-04-01,
Occupancy,Statewide- Upper Midscale,percent,2009-04-01,
Occupancy,Oahu- Upper Upscale,percent,2009-04-01,
Occupancy,Maui CTY- Luxury,percent,2009-04-01,
Occupancy,Statewide- Midscale & Economy,percent,2009-04-01,
Occupancy,Oahu- Upscale,percent,2009-04-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-04-01,
Occupancy,Oahu- Upper Midscale,percent,2009-04-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-04-01,
Avg daily rate,Statewide- All,dollar,2009-04-01,179.69
Avg daily rate,Oahu- All,dollar,2009-04-01,147.85
Avg daily rate,Maui CTY- All,dollar,2009-04-01,245.37
Avg daily rate,Hawaii ISL- All,dollar,2009-04-01,197.07
Avg daily rate,Kauai- All,dollar,2009-04-01,195.15
Avg daily rate,Statewide- Luxury,dollar,2009-04-01,
Avg daily rate,Waikiki,dollar,2009-04-01,
Avg daily rate,Wailea,dollar,2009-04-01,
Avg daily rate,Kohala Coast,dollar,2009-04-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2009-04-01,
Avg daily rate,Other Oahu,dollar,2009-04-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2009-04-01,
Avg daily rate,Statewide- Upscale,dollar,2009-04-01,
Avg daily rate,Oahu- Luxury,dollar,2009-04-01,
Avg daily rate,Other Maui CTY,dollar,2009-04-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2009-04-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2009-04-01,
Avg daily rate,Maui CTY- Luxury,dollar,2009-04-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2009-04-01,
Avg daily rate,Oahu- Upscale,dollar,2009-04-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2009-04-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2009-04-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2009-04-01,
RevPAR,Statewide- All,dollar,2009-04-01,112.85
RevPAR,Oahu- All,dollar,2009-04-01,103.64
RevPAR,Maui CTY- All,dollar,2009-04-01,137.9
RevPAR,Hawaii ISL- All,dollar,2009-04-01,107.01
RevPAR,Kauai- All,dollar,2009-04-01,105.58
RevPAR,Statewide- Luxury,dollar,2009-04-01,
RevPAR,Waikiki,dollar,2009-04-01,
RevPAR,Wailea,dollar,2009-04-01,
RevPAR,Kohala Coast,dollar,2009-04-01,
RevPAR,Statewide- Upper Upscale,dollar,2009-04-01,
RevPAR,Other Oahu,dollar,2009-04-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2009-04-01,
RevPAR,Statewide- Upscale,dollar,2009-04-01,
RevPAR,Oahu- Luxury,dollar,2009-04-01,
RevPAR,Other Maui CTY,dollar,2009-04-01,
RevPAR,Statewide- Upper Midscale,dollar,2009-04-01,
RevPAR,Oahu- Upper Upscale,dollar,2009-04-01,
RevPAR,Maui CTY- Luxury,dollar,2009-04-01,
RevPAR,Statewide- Midscale & Economy,dollar,2009-04-01,
RevPAR,Oahu- Upscale,dollar,2009-04-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2009-04-01,
RevPAR,Oahu- Upper Midscale,dollar,2009-04-01,
RevPAR,Oahu- Midscale & Economy,dollar,2009-04-01,
Occupancy,Statewide- All,percent,2009-05-01,61.0
Occupancy,Oahu- All,percent,2009-05-01,69.1
Occupancy,Maui CTY- All,percent,2009-05-01,53.8
Occupancy,Hawaii ISL- All,percent,2009-05-01,48.6
Occupancy,Kauai- All,percent,2009-05-01,55.5
Occupancy,Statewide- Luxury,percent,2009-05-01,
Occupancy,Waikiki,percent,2009-05-01,
Occupancy,Wailea,percent,2009-05-01,
Occupancy,Kohala Coast,percent,2009-05-01,
Occupancy,Statewide- Upper Upscale,percent,2009-05-01,
Occupancy,Other Oahu,percent,2009-05-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2009-05-01,
Occupancy,Statewide- Upscale,percent,2009-05-01,
Occupancy,Oahu- Luxury,percent,2009-05-01,
Occupancy,Other Maui CTY,percent,2009-05-01,
Occupancy,Statewide- Upper Midscale,percent,2009-05-01,
Occupancy,Oahu- Upper Upscale,percent,2009-05-01,
Occupancy,Maui CTY- Luxury,percent,2009-05-01,
Occupancy,Statewide- Midscale & Economy,percent,2009-05-01,
Occupancy,Oahu- Upscale,percent,2009-05-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-05-01,
Occupancy,Oahu- Upper Midscale,percent,2009-05-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-05-01,
Avg daily rate,Statewide- All,dollar,2009-05-01,165.61
Avg daily rate,Oahu- All,dollar,2009-05-01,145.77
Avg daily rate,Maui CTY- All,dollar,2009-05-01,212.93
Avg daily rate,Hawaii ISL- All,dollar,2009-05-01,165.36
Avg daily rate,Kauai- All,dollar,2009-05-01,180.46
Avg daily rate,Statewide- Luxury,dollar,2009-05-01,
Avg daily rate,Waikiki,dollar,2009-05-01,
Avg daily rate,Wailea,dollar,2009-05-01,
Avg daily rate,Kohala Coast,dollar,2009-05-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2009-05-01,
Avg daily rate,Other Oahu,dollar,2009-05-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2009-05-01,
Avg daily rate,Statewide- Upscale,dollar,2009-05-01,
Avg daily rate,Oahu- Luxury,dollar,2009-05-01,
Avg daily rate,Other Maui CTY,dollar,2009-05-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2009-05-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2009-05-01,
Avg daily rate,Maui CTY- Luxury,dollar,2009-05-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2009-05-01,
Avg daily rate,Oahu- Upscale,dollar,2009-05-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2009-05-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2009-05-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2009-05-01,
RevPAR,Statewide- All,dollar,2009-05-01,101.02
RevPAR,Oahu- All,dollar,2009-05-01,100.73
RevPAR,Maui CTY- All,dollar,2009-05-01,114.56
RevPAR,Hawaii ISL- All,dollar,2009-05-01,80.36
RevPAR,Kauai- All,dollar,2009-05-01,100.16
RevPAR,Statewide- Luxury,dollar,2009-05-01,
RevPAR,Waikiki,dollar,2009-05-01,
RevPAR,Wailea,dollar,2009-05-01,
RevPAR,Kohala Coast,dollar,2009-05-01,
RevPAR,Statewide- Upper Upscale,dollar,2009-05-01,
RevPAR,Other Oahu,dollar,2009-05-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2009-05-01,
RevPAR,Statewide- Upscale,dollar,2009-05-01,
RevPAR,Oahu- Luxury,dollar,2009-05-01,
RevPAR,Other Maui CTY,dollar,2009-05-01,
RevPAR,Statewide- Upper Midscale,dollar,2009-05-01,
RevPAR,Oahu- Upper Upscale,dollar,2009-05-01,
RevPAR,Maui CTY- Luxury,dollar,2009-05-01,
RevPAR,Statewide- Midscale & Economy,dollar,2009-05-01,
RevPAR,Oahu- Upscale,dollar,2009-05-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2009-05-01,
RevPAR,Oahu- Upper Midscale,dollar,2009-05-01,
RevPAR,Oahu- Midscale & Economy,dollar,2009-05-01,
Occupancy,Statewide- All,percent,2009-06-01,61.8
Occupancy,Oahu- All,percent,2009-06-01,67.0
Occupancy,Maui CTY- All,percent,2009-06-01,59.0
Occupancy,Hawaii ISL- All,percent,2009-06-01,51.3
Occupancy,Kauai- All,percent,2009-06-01,57.1
Occupancy,Statewide- Luxury,percent,2009-06-01,
Occupancy,Waikiki,percent,2009-06-01,
Occupancy,Wailea,percent,2009-06-01,
Occupancy,Kohala Coast,percent,2009-06-01,
Occupancy,Statewide- Upper Upscale,percent,2009-06-01,
Occupancy,Other Oahu,percent,2009-06-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2009-06-01,
Occupancy,Statewide- Upscale,percent,2009-06-01,
Occupancy,Oahu- Luxury,percent,2009-06-01,
Occupancy,Other Maui CTY,percent,2009-06-01,
Occupancy,Statewide- Upper Midscale,percent,2009-06-01,
Occupancy,Oahu- Upper Upscale,percent,2009-06-01,
Occupancy,Maui CTY- Luxury,percent,2009-06-01,
Occupancy,Statewide- Midscale & Economy,percent,2009-06-01,
Occupancy,Oahu- Upscale,percent,2009-06-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-06-01,
Occupancy,Oahu- Upper Midscale,percent,2009-06-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-06-01,
Avg daily rate,Statewide- All,dollar,2009-06-01,172.24
Avg daily rate,Oahu- All,dollar,2009-06-01,145.69
Avg daily rate,Maui CTY- All,dollar,2009-06-01,229.76
Avg daily rate,Hawaii ISL- All,dollar,2009-06-01,174.0
Avg daily rate,Kauai- All,dollar,2009-06-01,182.5
Avg daily rate,Statewide- Luxury,dollar,2009-06-01,
Avg daily rate,Waikiki,dollar,2009-06-01,
Avg daily rate,Wailea,dollar,2009-06-01,
Avg daily rate,Kohala Coast,dollar,2009-06-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2009-06-01,
Avg daily rate,Other Oahu,dollar,2009-06-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2009-06-01,
Avg daily rate,Statewide- Upscale,dollar,2009-06-01,
Avg daily rate,Oahu- Luxury,dollar,2009-06-01,
Avg daily rate,Other Maui CTY,dollar,2009-06-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2009-06-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2009-06-01,
Avg daily rate,Maui CTY- Luxury,dollar,2009-06-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2009-06-01,
Avg daily rate,Oahu- Upscale,dollar,2009-06-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2009-06-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2009-06-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2009-06-01,
RevPAR,Statewide- All,dollar,2009-06-01,106.44
RevPAR,Oahu- All,dollar,2009-06-01,97.61
RevPAR,Maui CTY- All,dollar,2009-06-01,135.56
RevPAR,Hawaii ISL- All,dollar,2009-06-01,89.26
RevPAR,Kauai- All,dollar,2009-06-01,104.21
RevPAR,Statewide- Luxury,dollar,2009-06-01,
RevPAR,Waikiki,dollar,2009-06-01,
RevPAR,Wailea,dollar,2009-06-01,
RevPAR,Kohala Coast,dollar,2009-06-01,
RevPAR,Statewide- Upper Upscale,dollar,2009-06-01,
RevPAR,Other Oahu,dollar,2009-06-01,
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2009-06-01,
RevPAR,Statewide- Upscale,dollar,2009-06-01,
RevPAR,Oahu- Luxury,dollar,2009-06-01,
RevPAR,Other Maui CTY,dollar,2009-06-01,
RevPAR,Statewide- Upper Midscale,dollar,2009-06-01,
RevPAR,Oahu- Upper Upscale,dollar,2009-06-01,
RevPAR,Maui CTY- Luxury,dollar,2009-06-01,
RevPAR,Statewide- Midscale & Economy,dollar,2009-06-01,
RevPAR,Oahu- Upscale,dollar,2009-06-01,
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2009-06-01,
RevPAR,Oahu- Upper Midscale,dollar,2009-06-01,
RevPAR,Oahu- Midscale & Economy,dollar,2009-06-01,
Occupancy,Statewide- All,percent,2009-07-01,68.8
Occupancy,Oahu- All,percent,2009-07-01,77.3
Occupancy,Maui CTY- All,percent,2009-07-01,61.5
Occupancy,Hawaii ISL- All,percent,2009-07-01,56.3
Occupancy,Kauai- All,percent,2009-07-01,62.5
Occupancy,Statewide- Luxury,percent,2009-07-01,
Occupancy,Waikiki,percent,2009-07-01,
Occupancy,Wailea,percent,2009-07-01,
Occupancy,Kohala Coast,percent,2009-07-01,
Occupancy,Statewide- Upper Upscale,percent,2009-07-01,
Occupancy,Other Oahu,percent,2009-07-01,
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2009-07-01,
Occupancy,Statewide- Upscale,percent,2009-07-01,
Occupancy,Oahu- Luxury,percent,2009-07-01,
Occupancy,Other Maui CTY,percent,2009-07-01,
Occupancy,Statewide- Upper Midscale,percent,2009-07-01,
Occupancy,Oahu- Upper Upscale,percent,2009-07-01,
Occupancy,Maui CTY- Luxury,percent,2009-07-01,
Occupancy,Statewide- Midscale & Economy,percent,2009-07-01,
Occupancy,Oahu- Upscale,percent,2009-07-01,
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2009-07-01,
Occupancy,Oahu- Upper Midscale,percent,2009-07-01,
Occupancy,Oahu- Midscale & Economy,percent,2009-07-01,
Avg daily rate,Statewide- All,dollar,2009-07-01,176.87
Avg daily rate,Oahu- All,dollar,2009-07-01,149.57
Avg daily rate,Maui CTY- All,dollar,2009-07-01,241.99
Avg daily rate,Hawaii ISL- All,dollar,2009-07-01,178.62
Avg daily rate,Kauai- All,dollar,2009-07-01,191.18
Avg daily rate,Statewide- Luxury,dollar,2009-07-01,
Avg daily rate,Waikiki,dollar,2009-07-01,
Avg daily rate,Wailea,dollar,2009-07-01,
Avg daily rate,Kohala Coast,dollar,2009-07-01,
Avg daily rate,Statewide- Upper Upscale,dollar,2009-07-01,
Avg daily rate,Other Oahu,dollar,2009-07-01,
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2009-07-01,
Avg daily rate,Statewide- Upscale,dollar,2009-07-01,
Avg daily rate,Oahu- Luxury,dollar,2009-07-01,
Avg daily rate,Other Maui CTY,dollar,2009-07-01,
Avg daily rate,Statewide- Upper Midscale,dollar,2009-07-01,
Avg daily rate,Oahu- Upper Upscale,dollar,2009-07-01,
Avg daily rate,Maui CTY- Luxury,dollar,2009-07-01,
Avg daily rate,Statewide- Midscale & Economy,dollar,2009-07-01,
Avg daily rate,Oahu- Upscale,dollar,2009-07-01,
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2009-07-01,
Avg daily rate,Oahu- Upper Midscale,dollar,2009-07-01,
Avg daily rate,Oahu- Midscale & Economy,dollar,2009-07-01,
RevPAR,Statewide- All,dollar,2009-07-01,121.69
RevPAR,Oahu- All,dollar,2009-07-01,115.62
RevPAR,Maui CTY- All,dollar,2009-07-01,148.82
RevPAR,Hawaii ISL- All,dollar,2009-07-01,100.56
RevPAR,Kauai- All,dollar,2009-07-01,119.49
RevPAR,Statewide- Luxury,dollar,2009-07-01,
RevPAR,Waikiki,dollar,2009-07-01,
RevPAR,Wailea,dollar,2009-07-01,
RevPAR,Kohala Coast,dollar,2009-07-01,
