indicator,market,destination,units,period_date,value
Airseat,"Oceania, Scheduled",Kahului,number,2009-03-01,0.0
Airseat,"Oceania, Scheduled",Kona,number,2009-03-01,0.0
Airseat,"Oceania, Scheduled",Hilo,number,2009-03-01,0.0
Airseat,"Oceania, Scheduled",Lihue,number,2009-03-01,0.0
Airseat,"Other, Scheduled",All airports in Hawaii,number,2009-03-01,
Airseat,"Other, Scheduled",Honolulu,number,2009-03-01,
Airseat,"Other, Scheduled",Kahului,number,2009-03-01,0.0
Airseat,"Other, Scheduled",Kona,number,2009-03-01,0.0
Airseat,"Other, Scheduled",Hilo,number,2009-03-01,0.0
Airseat,"Other, Scheduled",Lihue,number,2009-03-01,0.0
Airseat,"All, Scheduled & Charters",All airports in Hawaii,number,2009-04-01,
Airseat,"All, Scheduled & Charters",Honolulu,number,2009-04-01,
Airseat,"All, Scheduled & Charters",Kahului,number,2009-04-01,
Airseat,"All, Scheduled & Charters",Kona,number,2009-04-01,
Airseat,"All, Scheduled & Charters",Hilo,number,2009-04-01,0.0
Airseat,"All, Scheduled & Charters",Lihue,number,2009-04-01,
Airseat,"All, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"All, Scheduled",Honolulu,number,2009-04-01,
Airseat,"All, Scheduled",Kahului,number,2009-04-01,
Airseat,"All, Scheduled",Kona,number,2009-04-01,
Airseat,"All, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"All, Scheduled",Lihue,number,2009-04-01,
Airseat,"All, Charters",All airports in Hawaii,number,2009-04-01,
Airseat,"All, Charters",Honolulu,number,2009-04-01,
Airseat,"All, Charters",Kahului,number,2009-04-01,0.0
Airseat,"All, Charters",Kona,number,2009-04-01,0.0
Airseat,"All, Charters",Hilo,number,2009-04-01,0.0
Airseat,"All, Charters",Lihue,number,2009-04-01,0.0
Airseat,"All Domestic, Scheduled & Charters",All airports in Hawaii,number,2009-04-01,
Airseat,"All Domestic, Scheduled & Charters",Honolulu,number,2009-04-01,
Airseat,"All Domestic, Scheduled & Charters",Kahului,number,2009-04-01,
Airseat,"All Domestic, Scheduled & Charters",Kona,number,2009-04-01,
Airseat,"All Domestic, Scheduled & Charters",Hilo,number,2009-04-01,0.0
Airseat,"All Domestic, Scheduled & Charters",Lihue,number,2009-04-01,
Airseat,"All Domestic, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"All Domestic, Scheduled",Honolulu,number,2009-04-01,
Airseat,"All Domestic, Scheduled",Kahului,number,2009-04-01,
Airseat,"All Domestic, Scheduled",Kona,number,2009-04-01,
Airseat,"All Domestic, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"All Domestic, Scheduled",Lihue,number,2009-04-01,
Airseat,"All Domestic, Charters",All airports in Hawaii,number,2009-04-01,
Airseat,"All Domestic, Charters",Honolulu,number,2009-04-01,
Airseat,"All Domestic, Charters",Kahului,number,2009-04-01,0.0
Airseat,"All Domestic, Charters",Kona,number,2009-04-01,0.0
Airseat,"All Domestic, Charters",Hilo,number,2009-04-01,0.0
Airseat,"All Domestic, Charters",Lihue,number,2009-04-01,0.0
