"Indicator","Market","Destination","Units","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04"
"Airseat","All, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,925","5,652","5,495","5,338","5,652","5,338","5,652","5,495","5,181","5,652","6,120","6,300","5,320","5,320","4,864","3,496","3,192","3,952","4,271","4,104","3,040","3,344","3,925","4,239","5,082","5,456","4,620","3,234","3,388","3,399","4,466","3,804","3,128","3,424","3,234","4,266","4,484","4,774","4,774","3,388","3,388","3,388","4,004","2,002","2,464","3,388","3,850","3,508","4,466","4,774","4,978","3,794","3,590","3,460","4,266","2,714","2,667","3,508","3,448","3,496","4,218","5,098","4,208","3,604","3,794","3,652","4,482","3,154","2,726","3,592","3,486","3,652","4,648","4,870","5,014","3,818","4,316","4,102","4,802","5,159","4,648","5,146","4,980","5,146","4,980","5,146","3,652","3,486","3,652","3,984","4,316","2,822","2,656","3,665","3,873","3,938","4,700","5,146","4,804","3,486","4,648","3,818","4,316","2,656","2,490","3,652","0","0","0","0","0","0","0","0","0","0","0","1,992","2,158","2,158","4,999","5,549","5,549","3,759","3,759","4,117","4,537","2,685","2,148","3,899","2,887","3,183","5,191","0","5,549","4,117","3,925","3,818","4,482","1,162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All, Scheduled","Lihue","number","32,957","28,442","34,359","34,006","36,034","42,256","47,163","43,806","29,700","31,737","31,080","36,131","33,542","30,542","39,029","37,778","38,730","44,106","47,182","43,534","32,610","35,362","31,634","38,244","35,975","32,144","37,561","43,808","42,503","50,798","56,195","51,308","39,952","42,646","38,865","47,409","42,869","40,847","49,256","48,507","47,864","52,349","56,127","53,499","44,829","45,974","49,421","57,488","55,324","49,132","55,540","49,618","44,332","52,837","56,074","54,267","40,163","42,850","46,564","52,477","54,201","48,809","56,164","51,740","49,890","58,126","67,117","63,616","44,475","50,317","49,765","59,956","58,968","50,012","58,035","53,670","52,123","65,708","69,676","65,008","43,778","48,569","47,209","62,756","62,135","55,599","60,396","52,710","50,763","67,832","75,759","72,169","43,482","49,012","47,608","63,812","58,693","50,629","57,786","52,860","51,456","75,750","81,029","75,966","53,331","60,100","59,734","81,329","83,686","76,160","94,353","82,421","82,861","84,613","90,551","84,005","69,083","74,997","82,289","94,799","87,162","76,697","93,933","80,182","79,966","90,144","94,336","86,220","63,608","72,879","81,170","92,179","82,859","80,683","62,910","3,856","2,316","2,340","2,780","3,860","3,558","13,344","49,218","14,747","8,062","11,754","13,498","34,172","52,079","82,426","100,947","104,747","98,576","100,662","102,309","111,062","96,206","82,301","105,510","100,142","99,815","102,029","88,778","102,059","85,076","82,579","87,834","94,253","89,255","73,566","90,914","86,865","83,934","86,014","88,778","88,451","71,159","71,743","68,946","81,208","79,603","71,665","82,355","75,429","86,738","91,044","97,202","87,545","72,604","77,374","78,125","90,178","80,992","60,300","85,888","91,435","86,802","91,145","77,403","91,502","80,442","82,169","77,365","99,878","86,578","83,577","96,782","98,827"
"Airseat","All, Charters","All airports in Hawaii","number","9,852","8,624","10,252","9,176","8,776","7,176","7,596","9,706","8,157","7,881","7,300","15,452","9,938","12,184","11,490","6,872","6,872","5,520","5,796","9,227","12,872","10,993","7,468","10,441","9,288","9,180","9,191","7,591","8,583","7,202","7,181","16,102","8,528","8,064","9,502","16,057","11,518","9,435","12,281","11,775","7,578","5,825","8,608","19,136","7,436","5,841","7,519","11,871","6,479","19,917","14,671","14,343","6,542","7,755","8,180","17,412","6,756","7,773","6,469","11,799","7,777","5,702","7,631","4,416","4,692","5,262","6,855","15,735","10,067","5,850","5,071","13,153","6,102","4,675","4,710","4,710","4,979","5,312","6,769","13,207","6,057","5,939","4,968","13,783","5,889","9,248","11,756","7,250","6,691","6,373","7,215","14,301","5,875","4,998","6,575","7,745","7,709","5,940","7,356","7,181","6,667","6,372","6,291","9,125","5,493","5,704","7,471","9,760","7,332","5,581","6,941","9,163","8,913","8,458","6,474","7,282","15,105","6,677","10,705","8,042","5,795","6,041","6,711","13,536","9,601","5,873","6,818","9,395","6,201","6,288","6,580","12,346","7,480","5,191","17,588","5,699","1,524","453","1,817","1,647","965","1,637","3,822","3,508","812","2,494","2,561","3,870","4,736","6,044","7,164","5,851","8,444","606","2,790","4,558","1,233","720","1,950","2,660","1,829","3,568","4,627","1,705","834","1,025","2,929","2,384","2,880","2,424","2,365","1,334","1,216","2,188","4,627","9,662","2,314","5,622","3,766","3,018","6,356","4,930","5,646","6,439","1,529","1,829","1,680","2,160","1,522","7,641","3,309","4,891","2,113","2,283","3,985","1,238","1,257","3,922","5,821","1,829","2,314","2,189","4,009","2,801","2,903","1,102","920","3,324"
"Airseat","All, Charters","Honolulu","number","9,852","8,624","10,252","9,176","8,776","7,176","7,596","9,706","8,157","7,881","7,300","15,452","9,938","12,184","11,490","6,872","6,872","5,520","5,796","9,227","12,872","10,993","7,468","10,441","9,288","9,180","9,191","7,591","8,583","7,202","7,181","16,102","8,528","8,064","9,502","16,057","11,518","9,435","12,281","11,775","7,578","5,825","8,608","19,136","7,436","5,841","7,519","11,871","6,479","19,917","14,671","14,343","6,542","7,755","8,180","17,412","6,756","7,773","6,469","11,799","7,777","5,702","7,631","4,416","4,692","5,262","6,855","15,735","10,067","5,850","5,071","13,153","6,102","4,675","4,710","4,710","4,979","5,312","6,769","13,207","6,057","5,939","4,968","13,783","5,889","8,464","10,652","6,675","6,079","5,880","7,059","14,301","5,660","4,636","6,209","7,582","7,330","5,784","6,209","6,575","6,210","6,372","6,291","8,909","5,328","5,535","7,322","8,855","6,819","5,581","6,551","6,662","8,338","8,458","6,087","6,942","14,909","6,677","9,706","7,829","5,621","5,661","6,221","13,191","9,049","5,639","6,584","9,395","6,035","6,288","5,248","11,894","5,892","5,013","11,178","5,365","1,331","453","1,817","1,068","799","1,153","1,495","1,881","812","1,190","685","856","4,039","1,968","3,054","2,704","3,254","606","1,300","2,321","1,233","442","1,380","1,531","1,829","2,328","4,263","1,506","834","1,025","1,228","2,384","2,714","2,143","1,765","344","1,041","2,188","4,263","8,027","1,582","3,375","1,687","1,789","4,222","1,544","2,846","2,839","554","1,187","1,015","1,306","1,114","5,256","2,466","4,090","1,161","1,217","3,106","830","849","2,427","4,725","1,043","1,882","1,781","2,692","2,315","1,568","450","278","2,192"
"Airseat","All, Charters","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","372","936","575","264","312","0","0","0","0","181","0","216","156","0","276","276","0","0","216","0","0","149","0","181","0","181","2,022","199","0","199","340","0","0","811","0","174","380","331","166","552","234","234","0","166","0","1,153","276","1,071","0","5,604","175","193","0","0","386","166","484","1,814","1,299","0","1,145","972","2,637","697","2,771","3,951","3,147","4,856","0","1,077","2,062","0","278","570","175","0","700","364","199","0","0","1,134","0","0","281","401","278","175","0","364","179","0","189","0","0","0","736","760","982","567","166","325","378","0","978","178","189","340","492","0","408","0","1,087","444","378","175","0","0","0","318","244","166","588"
"Airseat","All, Charters","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","168","0","163","181","0","0","215","0","0","163","163","0","670","330","0","0","0","0","165","0","0","905","332","0","209","167","0","0","0","0","196","0","188","213","0","0","0","179","0","0","0","0","0","0","179","176","163","178","806","0","0","0","0","193","0","0","338","328","0","159","570","377","0","552","159","0","0","0","234","175","0","0","0","0","0","175","0","0","0","0","567","0","0","0","0","712","0","0","0","1,281","732","2,058","2,079","1,229","2,134","2,650","2,040","2,618","408","476","340","476","408","1,233","476","612","612","408","703","0","408","408","476","408","68","408","1,317","486","1,017","408","476","544"
"Airseat","All, Charters","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All, Charters","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","213","0","0","185","0","0","0","0","362","185","0","0","0","477","0","181","0","0","0","0","169","0","0","0","0","0","312","376","0","188","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","0","188","0","0","159","0","0","0","0","0","0","175","0","0","0","334","0","0","753","0","0","334","0","0","0","0","0","0","954","0","365","0","0","0","0","0","0","166","0","199","0","0","0","0","175","0","0","0","0","0","0","0","0","0","0","0","0","0","174","189","0","0","166","176","0","0","0","176","0","189","0","0","0","0","0","0","0"
"Airseat","All Domestic, Scheduled & Charters","All airports in Hawaii","number","526,985","466,101","546,124","529,889","538,422","565,303","615,725","587,064","451,766","483,659","469,837","545,247","528,505","475,938","568,047","545,722","560,095","612,399","652,312","626,242","513,094","544,318","529,068","585,792","559,772","501,252","578,025","549,632","548,523","594,211","621,540","576,641","504,949","524,744","501,438","568,940","537,280","506,367","583,593","538,183","552,431","608,067","680,191","650,038","545,479","568,485","573,761","631,236","597,743","549,089","642,046","582,062","582,560","656,386","701,977","661,834","523,792","548,641","570,505","627,362","602,810","542,971","649,323","579,346","610,017","676,019","742,268","711,981","577,639","608,913","602,023","690,126","658,530","585,451","712,929","662,497","686,033","762,864","795,481","747,712","588,751","631,716","635,518","733,713","683,836","640,982","719,212","656,525","684,761","763,408","806,672","755,639","598,853","634,334","626,803","744,828","675,625","600,491","720,433","657,872","682,607","767,647","816,294","769,825","628,801","657,143","648,606","784,396","763,331","680,953","829,849","755,563","787,387","833,809","876,703","826,286","691,903","706,317","712,244","824,233","768,657","604,967","843,016","783,210","824,403","903,624","951,068","896,563","717,182","766,154","770,590","904,250","849,320","795,561","724,950","84,451","86,343","98,105","149,166","166,320","144,068","208,919","425,548","560,507","558,221","510,439","642,636","707,075","808,136","972,327","1,254,631","1,104,320","933,327","968,955","930,109","988,732","922,585","841,137","1,030,493","952,134","943,437","954,848","988,566","981,591","812,392","815,924","847,350","955,282","953,140","835,419","979,534","890,966","892,994","941,399","988,566","939,231","782,594","820,673","819,262","870,171","839,547","803,634","920,429","857,159","924,768","936,654","996,388","908,765","793,186","828,204","836,463","950,440","888,560","787,044","951,631","876,427","861,517","917,981","937,926","890,565","780,686","829,638","838,688","965,302","919,538","866,191","1,019,099","933,226"
"Airseat","All Domestic, Scheduled & Charters","Honolulu","number","339,047","298,308","344,949","340,389","351,340","352,376","378,248","365,166","304,736","315,888","305,958","348,099","343,028","300,184","345,296","337,241","351,282","367,844","381,269","375,552","325,271","335,577","327,161","356,022","345,379","308,790","349,871","328,008","337,220","349,846","352,854","337,424","308,896","315,850","300,575","333,570","314,513","292,611","328,526","310,169","331,116","363,301","394,049","384,201","339,695","341,374","337,210","372,836","344,217","318,445","374,242","346,578","365,732","396,751","418,699","402,700","331,614","337,057","343,609","376,718","356,805","318,219","375,074","339,121","369,771","401,938","427,375","415,464","357,082","365,351","353,014","397,839","374,417","329,123","395,151","378,769","401,302","425,147","444,149","422,570","351,265","369,858","370,862","415,104","382,976","357,687","391,968","370,716","397,669","418,238","434,839","413,649","352,885","368,193","358,119","407,763","372,372","329,677","384,483","365,071","389,634","413,180","435,362","420,144","365,568","374,608","360,311","414,513","397,584","348,964","411,431","377,880","395,581","413,962","431,920","417,621","370,636","375,791","371,204","423,341","393,819","290,458","428,703","400,619","424,455","446,144","468,003","458,176","387,255","404,743","400,146","462,466","433,827","404,577","381,301","67,659","77,272","81,510","120,397","139,851","117,696","140,978","220,985","298,874","290,213","264,395","333,071","350,720","402,623","477,962","564,589","547,719","459,333","462,106","457,651","507,807","466,537","427,164","509,611","478,716","469,166","443,495","517,596","476,479","414,132","425,650","443,547","496,958","497,260","440,433","500,095","467,757","471,194","490,291","517,596","505,473","454,028","477,937","476,595","479,103","473,619","453,012","521,196","494,433","534,722","531,578","562,413","510,789","448,625","466,963","479,072","543,513","507,193","491,737","552,221","519,045","494,168","524,685","538,295","503,256","445,225","473,997","470,531","527,361","510,275","471,048","553,283","515,931"
"Airseat","All Domestic, Scheduled & Charters","Kahului","number","112,596","100,694","120,341","110,280","108,629","126,913","142,497","130,975","87,982","98,578","95,704","114,954","108,600","103,950","131,278","121,727","121,158","145,911","164,222","152,025","115,785","128,114","123,991","140,382","127,191","113,240","136,942","131,554","122,177","139,986","153,330","134,847","112,953","117,295","114,454","133,769","126,329","120,564","141,607","126,157","123,780","136,845","168,966","154,504","115,984","129,115","133,064","144,489","140,913","126,687","149,396","134,111","128,041","155,924","171,823","153,815","113,641","120,140","128,887","147,688","137,709","125,894","158,053","142,341","142,312","155,686","177,976","165,106","131,457","140,921","147,237","172,984","168,789","151,712","188,331","169,579","167,368","193,325","198,622","182,953","144,889","154,528","155,686","188,070","171,592","161,455","191,579","172,532","170,539","196,385","208,507","187,972","150,800","158,180","159,478","195,813","174,785","154,063","192,556","175,034","172,366","190,544","204,758","187,399","154,997","157,442","163,241","197,290","189,936","171,413","217,587","200,853","202,317","223,218","237,010","222,229","180,270","177,284","176,162","209,527","195,204","157,232","216,787","213,938","220,016","258,063","273,488","248,915","197,877","211,816","210,892","251,246","233,794","214,906","189,403","7,996","3,667","10,974","18,461","12,759","13,361","31,552","109,374","168,833","180,756","159,589","201,405","227,505","243,570","280,976","443,920","308,108","252,821","277,397","248,412","231,435","255,776","237,914","293,981","263,666","255,237","278,977","261,309","279,058","218,094","213,592","227,044","254,577","261,311","226,840","273,556","232,306","230,951","248,010","261,309","226,672","155,252","159,105","169,661","196,156","188,324","181,593","209,270","188,125","193,262","201,818","217,661","199,433","176,311","179,573","181,845","204,087","191,657","152,561","210,836","200,792","180,856","195,111","209,530","191,551","165,106","173,537","187,212","215,038","201,820","202,584","248,153","210,228"
"Airseat","All Domestic, Scheduled & Charters","Kona","number","42,385","38,657","46,475","45,214","42,419","43,758","47,817","47,117","29,348","37,456","37,095","46,893","44,829","42,590","53,938","50,304","49,091","54,538","59,639","55,131","39,428","45,265","46,282","52,638","52,559","48,262","54,983","47,594","46,623","49,656","53,509","47,567","37,810","43,301","42,372","50,698","50,232","49,322","60,710","49,222","44,035","51,082","56,393","53,634","42,305","49,494","51,442","54,476","55,343","53,777","61,682","49,918","40,912","46,662","50,447","47,302","35,836","45,902","49,612","50,015","55,685","51,793","62,002","47,434","44,648","56,481","65,722","63,891","41,933","49,632","50,185","60,737","59,748","57,012","73,418","61,849","62,776","74,914","78,956","73,073","45,697","56,011","59,813","68,725","69,627","68,233","76,969","62,159","62,109","76,735","82,313","77,641","48,082","54,961","59,609","78,166","71,829","68,100","86,747","66,293","65,318","83,525","90,275","81,302","51,087","60,844","65,418","91,670","92,174","84,472","106,540","93,821","101,106","107,036","111,888","98,779","68,428","75,289","83,825","98,827","97,410","84,824","106,853","89,296","96,028","104,573","110,095","98,448","64,956","72,590","78,392","98,741","101,224","97,951","91,686","4,781","3,088","3,281","7,528","9,850","9,453","23,045","45,796","78,053","79,190","74,701","92,336","92,520","107,706","125,211","139,626","138,197","118,504","125,205","120,921","137,545","105,557","95,264","122,712","109,771","116,036","124,791","120,883","118,446","90,973","90,526","88,761","109,536","107,988","98,060","118,076","105,430","106,915","117,084","120,883","118,460","102,155","112,236","106,844","117,010","100,089","99,452","110,218","99,694","110,046","112,214","119,112","110,998","95,646","104,294","99,494","115,620","111,328","84,890","105,642","66,373","99,691","107,040","112,522","104,256","89,724","99,935","103,580","125,287","123,301","111,418","124,013","109,458"
"Airseat","All Domestic, Scheduled & Charters","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,925","5,652","5,495","5,338","5,652","5,338","5,652","5,495","5,181","5,652","6,120","6,300","5,320","5,320","4,864","3,496","3,192","3,952","4,271","4,104","3,040","3,344","3,925","4,239","5,082","5,456","4,620","3,234","3,388","3,399","4,466","3,804","3,128","3,424","3,234","4,266","4,484","4,774","4,774","3,388","3,388","3,388","4,004","2,002","2,464","3,388","3,850","3,508","4,466","4,774","4,978","3,794","3,590","3,460","4,266","2,714","2,667","3,508","3,448","3,496","4,218","5,254","4,208","3,604","3,794","3,652","4,482","3,154","2,726","3,592","3,486","3,652","4,648","4,870","5,014","3,818","4,316","4,102","4,802","5,159","4,648","5,146","4,980","5,146","4,980","5,146","3,652","3,486","3,652","3,984","4,316","2,822","2,656","3,665","3,873","3,938","4,700","5,146","4,804","3,486","4,648","3,818","4,316","2,822","2,490","3,652","0","0","0","0","0","0","0","0","0","0","0","1,992","2,158","2,158","4,999","5,549","5,549","3,759","3,759","4,296","4,537","2,685","2,148","3,899","2,887","3,183","5,191","0","5,549","4,117","3,925","3,818","4,482","1,162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Domestic, Scheduled & Charters","Lihue","number","32,957","28,442","34,359","34,006","36,034","42,256","47,163","43,806","29,700","31,737","31,080","35,301","32,048","29,214","37,535","36,450","38,564","44,106","47,182","43,534","32,610","35,362","31,634","36,750","34,643","30,960","36,229","42,476","42,503","50,798","56,195","51,308","39,952","42,646","38,699","45,251","40,711","38,689","47,098","46,515","47,200","51,519","55,463","52,835","43,999","45,310","48,093","55,164","53,166","47,140","53,382","47,530","43,636","51,967","55,552","53,397","39,467","42,154","44,998","48,475","48,807","43,937","50,770","47,216","49,020","57,430","66,421","62,746","43,779","49,621","48,199","54,562","53,574","45,140","52,641","48,450","51,079","65,012","68,980","64,138","43,106","47,729","45,697","57,548","56,927","50,940","55,188","47,670","50,948","67,832","75,759","72,169","43,482","49,206","45,945","58,604","53,485","45,925","53,055","47,988","51,637","75,750","81,029","75,966","53,331","59,933","55,534","76,121","78,478","71,456","89,145","78,029","83,237","84,613","90,739","84,005","69,083","74,301","77,069","88,222","79,402","69,797","87,008","75,484","79,966","90,144","94,336","86,220","63,608","72,357","77,342","87,481","77,653","75,637","58,908","4,015","2,316","2,340","2,780","3,860","3,558","13,344","49,393","14,747","8,062","11,754","13,832","34,172","52,079","83,179","100,947","104,747","98,910","100,488","98,829","107,408","92,030","78,647","100,290","97,094","99,815","102,394","88,778","102,059","85,076","82,231","84,180","89,729","85,419","70,086","87,807","85,473","83,934","86,014","88,778","88,626","71,159","71,395","66,162","77,902","77,515","69,577","79,745","74,907","86,738","91,044","97,202","87,545","72,604","77,374","76,052","87,220","78,382","57,856","82,932","90,217","86,802","91,145","77,579","91,502","80,631","82,169","77,365","97,616","84,142","81,141","93,650","97,609"
"Airseat","All Domestic, Scheduled","All airports in Hawaii","number","519,533","459,477","538,672","522,713","531,246","558,127","609,377","580,716","444,866","475,931","462,937","537,795","521,329","469,866","561,975","539,650","554,023","606,879","646,516","619,894","507,298","538,246","522,996","579,720","553,700","496,284","571,953","543,836","542,451","588,415","615,468","570,845","498,877","518,672","495,642","562,868","530,656","500,847","577,245","532,111","546,635","603,375","674,947","644,794","540,787","563,517","569,069","625,992","593,051","544,673","637,354","577,094","577,868","651,694","697,285","657,142","518,824","543,949","565,813","621,842","598,118","538,555","644,355","574,930","605,325","671,051","737,576","707,013","572,671","604,221","597,331","685,158","654,666","581,035","708,513","658,081","681,617","758,448","790,513","742,744","584,059","627,024","630,550","728,186","678,499","632,986","713,073","650,723","678,905","757,299","801,049","750,947","593,783","629,776","621,354","739,493","669,500","595,763","713,353","652,418","677,182","762,381","810,693","764,917","623,944","651,730","643,748","777,895","756,833","675,880","824,767","747,018","781,581","828,929","871,271","821,254","687,015","701,232","705,625","818,228","763,632","599,517","836,583","777,559","818,795","898,420","945,632","891,415","711,856","760,985","764,288","898,261","843,040","790,967","719,264","79,734","84,945","97,652","148,102","165,463","143,709","207,560","421,726","557,760","557,668","508,204","640,375","703,783","803,653","967,345","1,250,245","1,099,843","924,883","968,518","927,319","984,524","922,585","840,581","1,029,748","951,005","942,466","951,763","986,355","980,183","811,836","815,196","845,097","953,497","952,082","833,943","978,487","889,632","892,453","940,519","986,355","930,086","780,728","817,167","815,496","868,942","834,351","799,692","915,517","851,635","923,536","935,103","995,391","907,053","792,220","821,283","834,186","948,225","887,288","785,444","949,089","876,019","860,600","914,840","932,993","888,931","779,455","828,388","835,876","963,285","918,177","865,364","1,018,179","930,288"
"Airseat","All Domestic, Scheduled","Honolulu","number","331,595","291,684","337,497","333,213","344,164","345,200","371,900","358,818","297,836","308,160","299,058","340,647","335,852","294,112","339,224","331,169","345,210","362,324","375,473","369,204","319,475","329,505","321,089","349,950","339,307","303,822","343,799","322,212","331,148","344,050","346,782","331,628","302,824","309,778","294,779","327,498","307,889","287,091","322,178","304,097","325,320","358,609","388,805","378,957","335,003","336,406","332,518","367,592","339,525","314,029","369,550","341,610","361,040","392,059","414,007","398,008","326,646","332,365","338,917","371,198","352,113","313,803","370,106","334,705","365,079","396,970","422,683","410,496","352,114","360,659","348,322","392,871","370,553","324,707","390,735","374,353","396,886","420,731","439,181","417,602","346,573","365,166","365,894","409,577","377,639","350,475","386,933","365,489","392,425","412,622","429,372","408,957","348,030","363,997","353,036","402,591","366,626","325,105","378,550","360,223","384,666","407,914","429,761","415,452","360,876","369,364","355,602","408,917","391,599","343,891","406,739","371,836","390,350","409,082","426,875","412,929","365,944","370,706","365,584","417,549","388,968","285,388","422,760","395,313","419,399","441,174","462,801","453,028","382,095","399,574","395,176","456,929","429,135","400,161","376,937","63,276","76,067","81,057","119,333","139,573","117,503","140,103","219,490","297,754","289,660","263,464","332,686","350,442","398,837","477,056","564,313","546,215","456,079","461,669","456,351","505,836","466,537","426,886","509,436","478,716","468,195","441,650","515,749","475,270","413,576","424,922","442,995","495,173","496,368","439,238","499,648","467,413","470,828","489,411","515,749","497,963","452,894","475,470","474,908","479,103","470,557","452,456","519,084","492,509","534,465","530,669","562,081","509,931","448,067","462,427","477,638","542,099","506,699","491,029","550,558","519,045","493,659","522,559","534,458","502,408","444,358","473,155","468,627","525,830","509,569","470,873","553,005","514,125"
"Airseat","All Domestic, Scheduled","Kahului","number","112,596","100,694","120,341","110,280","108,629","126,913","142,497","130,975","87,982","98,578","95,704","114,954","108,600","103,950","131,278","121,727","121,158","145,911","164,222","152,025","115,785","128,114","123,991","140,382","127,191","113,240","136,942","131,554","122,177","139,986","153,330","134,847","112,953","117,295","114,454","133,769","126,329","120,564","141,607","126,157","123,780","136,845","168,966","154,504","115,984","129,115","133,064","144,489","140,913","126,687","149,396","134,111","128,041","155,924","171,823","153,815","113,641","120,140","128,887","147,688","137,709","125,894","158,053","142,341","142,312","155,686","177,976","165,106","131,457","140,921","147,237","172,984","168,789","151,712","188,331","169,579","167,368","193,325","198,622","182,953","144,889","154,528","155,686","188,070","171,592","161,083","190,643","171,957","170,275","196,073","208,507","187,972","150,800","158,180","159,297","195,813","174,569","153,907","192,556","174,758","172,090","190,544","204,758","187,183","154,997","157,442","163,092","197,290","189,755","171,413","217,406","198,831","202,118","223,218","236,811","221,889","180,270","177,284","175,351","209,527","195,030","156,852","216,456","213,772","219,464","257,829","273,254","248,915","197,711","211,816","209,739","250,970","232,723","214,906","188,887","7,821","3,474","10,974","18,461","12,373","13,195","31,068","107,560","167,534","180,756","158,444","200,433","224,868","242,873","278,205","439,969","305,135","247,965","277,397","247,335","229,373","255,776","237,636","293,411","263,491","255,237","278,277","260,945","278,859","218,094","213,592","225,910","254,577","261,311","226,559","273,155","232,028","230,776","248,010","260,945","226,493","155,252","158,916","169,661","196,156","188,324","180,857","208,510","187,143","192,695","201,652","217,336","199,055","176,311","178,595","181,667","203,898","191,491","152,243","210,836","200,384","180,856","194,504","209,086","191,173","164,931","173,537","187,212","215,038","201,502","202,340","247,987","209,640"
