"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Oahu visitors","Total Transportation","% of total spending","percent","","11.0","10.5","7.2","7.0","7.0","7.3","7.3","7.4","7.9","8.8","","10.1","8.9","8.0","8.3"
"All visitors by air","Interisland airfare","Daily spending ($)","dollar","","","2.69","2.87","2.78","2.97","2.98","3.53","3.40","3.02","2.59","","1.31","1.74","1.78","2.33"
"Oahu visitors","Interisland airfare","Daily spending ($)","dollar","","3.48","3.04","2.86","2.65","2.18","1.96","1.90","2.16","2.03","1.53","","0.73","0.90","1.32","1.54"
"All visitors by air","Interisland airfare","% of total spending","percent","","","1.5","1.5","1.4","1.5","1.6","1.8","1.7","1.5","1.3","","0.7","0.7","0.7","1.0"
"Oahu visitors","Interisland airfare","% of total spending","percent","","2.0","1.6","1.3","1.3","1.0","1.0","1.0","1.1","1.0","0.8","","0.3","0.4","0.6","0.7"
"All visitors by air","Ground transportation","Daily spending ($)","dollar","","","1.50","1.63","1.83","1.79","1.73","1.93","1.86","1.81","1.85","","1.53","1.77","2.10","2.19"
"Oahu visitors","Ground transportation","Daily spending ($)","dollar","","1.56","1.73","1.95","1.97","1.99","1.93","1.92","1.95","2.15","2.04","","2.50","2.56","2.60","2.95"
"All visitors by air","Ground transportation","% of total spending","percent","","","0.8","0.8","0.9","0.9","0.9","1.0","0.9","0.9","0.9","","0.8","0.8","0.9","0.9"
"Oahu visitors","Ground transportation","% of total spending","percent","","0.9","0.9","0.9","0.9","0.9","1.0","1.0","1.0","1.1","1.0","","1.2","1.1","1.2","1.3"
"All visitors by air","Rental vehicles","Daily spending ($)","dollar","","","11.26","11.77","11.86","11.73","11.81","12.79","13.42","14.15","13.50","","19.93","20.55","17.30","16.73"
"Oahu visitors","Rental vehicles","Daily spending ($)","dollar","","12.12","13.24","9.21","8.89","9.28","9.71","9.78","9.59","10.51","12.21","","16.48","16.21","12.33","12.32"
"All visitors by air","Rental vehicles","% of total spending","percent","","","6.3","6.1","6.1","6.0","6.2","6.5","6.7","7.1","6.9","","9.9","8.9","7.2","6.8"
"Oahu visitors","Rental vehicles","% of total spending","percent","","6.9","6.9","4.3","4.2","4.4","4.8","4.9","4.8","5.3","6.3","","7.8","6.7","5.6","5.6"
"All visitors by air","Gasoline, parking, etc.","Daily spending ($)","dollar","","","1.54","1.59","1.41","1.38","1.16","1.06","1.17","1.25","1.29","","1.38","1.76","1.56","1.49"
"Oahu visitors","Gasoline, parking, etc.","Daily spending ($)","dollar","","2.01","2.17","1.37","1.22","1.21","1.11","0.89","0.94","0.96","1.33","","1.62","1.65","1.25","1.32"
"All visitors by air","Gasoline, parking, etc.","% of total spending","percent","","","0.9","0.8","0.7","0.7","0.6","0.5","0.6","0.6","0.7","","0.7","0.8","0.6","0.6"
"Oahu visitors","Gasoline, parking, etc.","% of total spending","percent","","1.1","1.1","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.7","","0.8","0.7","0.6","0.6"
"All visitors by air","Total Shopping","Daily spending ($)","dollar","","","30.69","33.55","30.68","30.78","28.17","28.01","27.89","27.36","26.01","","21.82","23.76","24.56","24.63"
"Oahu visitors","Total Shopping","Daily spending ($)","dollar","","23.22","24.62","41.60","36.46","37.38","34.01","32.12","32.75","31.35","22.47","","30.87","32.39","27.91","28.37"
"All visitors by air","Total Shopping","% of total spending","percent","","","17.3","17.4","15.8","15.6","14.7","14.2","14.0","13.7","13.2","","10.9","10.2","10.2","10.1"
"Oahu visitors","Total Shopping","% of total spending","percent","","13.3","12.8","19.4","17.4","17.8","16.8","16.2","16.5","15.9","11.5","","14.5","13.5","12.7","13.0"
"All visitors by air","Fashion and clothing","Daily spending ($)","dollar","","","10.92","11.89","11.35","11.66","10.76","10.74","10.75","10.56","10.07","","8.43","9.31","9.91","9.60"
"Oahu visitors","Fashion and clothing","Daily spending ($)","dollar","","9.29","9.39","16.42","14.64","14.47","12.98","12.04","12.10","11.88","8.14","","11.18","11.66","9.36","12.25"
"All visitors by air","Fashion and clothing","% of total spending","percent","","","6.2","6.2","5.9","5.9","5.6","5.4","5.4","5.3","5.1","","4.2","4.0","4.1","3.9"
"Oahu visitors","Fashion and clothing","% of total spending","percent","","5.3","4.9","7.7","7.0","6.9","6.4","6.1","6.1","6.0","4.2","","5.3","4.8","4.3","5.6"
"All visitors by air","Jewelry and watches","Daily spending ($)","dollar","","","4.99","5.13","4.37","4.20","3.72","3.56","3.37","3.47","3.12","","2.67","2.77","2.80","2.93"
"Oahu visitors","Jewelry and watches","Daily spending ($)","dollar","","3.77","4.22","5.81","4.65","4.59","4.18","3.80","3.92","3.76","3.26","","3.61","3.42","2.86","3.33"
"All visitors by air","Jewelry and watches","% of total spending","percent","","","2.8","2.7","2.3","2.1","1.9","1.8","1.7","1.7","1.6","","1.3","1.2","1.2","1.2"
"Oahu visitors","Jewelry and watches","% of total spending","percent","","2.2","2.2","2.7","2.2","2.2","2.1","1.9","2.0","1.9","1.7","","1.7","1.4","1.3","1.5"
"All visitors by air","Cosmetics, perfume","Daily spending ($)","dollar","","","1.32","1.69","1.48","1.62","1.47","1.30","1.30","1.30","1.08","","0.42","0.73","0.69","0.74"
"Oahu visitors","Cosmetics, perfume","Daily spending ($)","dollar","","0.44","0.51","1.97","1.74","1.78","1.71","1.54","1.79","1.48","0.49","","0.60","1.08","1.11","0.87"
"All visitors by air","Cosmetics, perfume","% of total spending","percent","","","0.7","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.5","","0.2","0.3","0.3","0.3"
"Oahu visitors","Cosmetics, perfume","% of total spending","percent","","0.3","0.3","0.9","0.8","0.8","0.8","0.8","0.9","0.8","0.3","","0.3","0.5","0.5","0.4"
"All visitors by air","Leather goods","Daily spending ($)","dollar","","","5.14","6.05","5.18","4.87","4.05","4.02","3.99","4.04","3.66","","2.70","2.75","2.22","1.82"
"Oahu visitors","Leather goods","Daily spending ($)","dollar","","0.97","1.23","6.21","5.16","5.35","4.17","4.11","4.36","4.01","2.01","","5.31","5.79","5.56","2.30"
"All visitors by air","Leather goods","% of total spending","percent","","","2.9","3.1","2.7","2.5","2.1","2.0","2.0","2.0","1.9","","1.3","1.2","0.9","0.7"
"Oahu visitors","Leather goods","% of total spending","percent","","0.6","0.6","2.9","2.5","2.6","2.1","2.1","2.2","2.0","1.0","","2.5","2.4","2.5","1.1"
"All visitors by air","Hawaii food products","Daily spending ($)","dollar","","","3.34","3.74","3.83","3.97","3.82","3.97","4.03","3.91","3.93","","3.07","3.44","3.92","4.08"
"Oahu visitors","Hawaii food products","Daily spending ($)","dollar","","3.21","3.48","3.05","2.86","3.18","3.35","3.25","3.17","3.72","3.35","","3.96","4.16","3.74","3.85"
"All visitors by air","Hawaii food products","% of total spending","percent","","","1.9","1.9","2.0","2.0","2.0","2.0","2.0","2.0","2.0","","1.5","1.5","1.6","1.7"
"Oahu visitors","Hawaii food products","% of total spending","percent","","1.8","1.8","1.4","1.4","1.5","1.7","1.6","1.6","1.9","1.7","","1.9","1.7","1.7","1.8"
"All visitors by air","Souvenirs","Daily spending ($)","dollar","","","4.98","5.05","4.47","4.46","4.36","4.42","4.42","4.15","4.18","","4.53","4.76","5.01","5.46"
"Oahu visitors","Souvenirs","Daily spending ($)","dollar","","5.54","5.77","8.15","7.40","8.02","7.61","7.38","7.41","6.51","5.22","","6.20","6.28","5.28","5.77"
"All visitors by air","Souvenirs","% of total spending","percent","","","2.8","2.6","2.3","2.3","2.3","2.2","2.2","2.1","2.1","","2.3","2.1","2.1","2.2"
"Oahu visitors","Souvenirs","% of total spending","percent","","3.2","3.0","3.8","3.5","3.8","3.8","3.7","3.7","3.3","2.7","","2.9","2.6","2.4","2.6"
"All visitors by air","Lodging","Daily spending ($)","dollar","","","68.90","77.44","81.62","82.74","81.21","84.46","83.12","84.80","85.17","","91.09","107.41","112.40","113.86"
"Oahu visitors","Lodging","Daily spending ($)","dollar","","68.17","77.28","92.18","94.83","92.76","89.10","88.25","87.16","85.38","87.31","","89.70","105.09","97.85","99.86"
"All visitors by air","Lodging","% of total spending","percent","","","38.9","40.2","42.1","42.1","42.5","42.7","41.8","42.6","43.3","","45.3","46.3","46.6","46.5"
"Oahu visitors","Lodging","% of total spending","percent","","38.9","40.1","43.1","45.2","44.3","44.1","44.4","44.0","43.4","44.9","","42.3","43.7","44.6","45.6"
"All visitors by air","All other expenses","Daily spending ($)","dollar","","","7.45","8.17","8.07","8.02","7.96","7.35","7.76","7.17","7.28","","3.65","6.15","8.75","8.53"
"Oahu visitors","All other expenses","Daily spending ($)","dollar","","7.31","6.96","6.80","7.56","7.43","8.03","8.43","7.97","8.12","7.20","","4.01","7.41","8.53","3.65"
