"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Visitors from US West","Cosmetics, perfume","% of total spending","percent","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","","0.1","0.2","0.2","0.2"
"Hawaii ISL visitors","Cosmetics, perfume","% of total spending","percent","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","","0.1","0.1","0.1","0.1"
"Visitors from US West","Leather goods","Daily spending ($)","dollar","0.53","0.50","0.59","0.71","0.54","0.60","0.84","0.79","0.88","0.89","1.08","","2.87","2.56","1.76","1.54"
"Hawaii ISL visitors","Leather goods","Daily spending ($)","dollar","","0.38","0.35","0.48","0.46","0.36","0.21","0.28","0.20","0.22","0.16","","0.13","0.15","0.19","0.21"
"Visitors from US West","Leather goods","% of total spending","percent","0.4","0.4","0.4","0.5","0.3","0.4","0.5","0.5","0.5","0.5","0.6","","1.5","1.2","0.8","0.7"
"Hawaii ISL visitors","Leather goods","% of total spending","percent","","0.3","0.2","0.3","0.3","0.2","0.1","0.2","0.1","0.1","0.1","","0.1","0.1","0.1","0.1"
"Visitors from US West","Hawaii food products","Daily spending ($)","dollar","2.12","2.09","2.17","2.28","2.39","2.54","2.47","2.50","2.75","2.71","2.78","","3.14","3.50","3.82","3.55"
"Hawaii ISL visitors","Hawaii food products","Daily spending ($)","dollar","","2.64","2.87","3.00","3.28","3.26","3.08","3.55","3.81","3.76","3.85","","3.42","4.11","4.50","4.21"
"Visitors from US West","Hawaii food products","% of total spending","percent","1.6","1.5","1.5","1.5","1.5","1.6","1.5","1.5","1.6","1.5","1.6","","1.6","1.6","1.7","1.5"
"Hawaii ISL visitors","Hawaii food products","% of total spending","percent","","1.8","1.9","1.9","1.9","1.9","1.9","2.0","2.1","2.0","2.2","","2.0","2.1","2.1","1.8"
"Visitors from US West","Souvenirs","Daily spending ($)","dollar","3.91","3.80","3.89","3.91","3.56","3.60","3.64","3.73","3.75","3.65","3.47","","4.22","4.37","4.57","4.45"
"Hawaii ISL visitors","Souvenirs","Daily spending ($)","dollar","","4.09","4.35","4.78","3.93","3.61","3.75","3.37","4.75","3.87","3.21","","3.03","3.84","4.28","5.67"
"Visitors from US West","Souvenirs","% of total spending","percent","2.9","2.7","2.7","2.6","2.3","2.2","2.2","2.2","2.2","2.1","2.0","","2.2","2.0","2.0","1.9"
"Hawaii ISL visitors","Souvenirs","% of total spending","percent","","2.8","2.9","3.0","2.3","2.1","2.3","1.9","2.6","2.1","1.8","","1.8","1.9","2.0","2.4"
"Visitors from US West","Lodging","Daily spending ($)","dollar","54.44","58.15","60.80","67.43","72.61","73.16","76.28","78.39","80.61","82.14","82.89","","90.51","105.98","108.83","110.45"
"Hawaii ISL visitors","Lodging","Daily spending ($)","dollar","","54.97","58.77","62.77","70.69","73.63","68.03","74.13","74.14","75.99","74.68","","75.21","88.62","95.97","108.67"
"Visitors from US West","Lodging","% of total spending","percent","40.9","41.6","42.2","44.3","46.4","45.7","47.1","46.7","46.3","46.7","47.4","","46.3","47.8","48.3","48.1"
"Hawaii ISL visitors","Lodging","% of total spending","percent","","38.2","39.0","39.5","41.4","42.8","42.4","41.3","40.3","41.4","41.9","","44.9","44.8","44.4","45.3"
"Visitors from US West","All other expenses","Daily spending ($)","dollar","3.45","4.11","3.99","3.50","4.25","4.31","4.53","4.29","4.22","4.04","4.31","","3.30","4.54","5.61","5.47"
"Hawaii ISL visitors","All other expenses","Daily spending ($)","dollar","","7.17","5.86","5.45","6.41","6.07","5.54","5.27","5.93","6.02","6.18","","3.46","5.04","7.78","4.82"
"Visitors from US West","All other expenses","% of total spending","percent","2.6","2.9","2.8","2.3","2.7","2.7","2.8","2.6","2.4","2.3","2.5","","1.7","2.0","2.5","2.4"
"Hawaii ISL visitors","All other expenses","% of total spending","percent","","5.0","3.9","3.4","3.7","3.5","3.5","2.9","3.2","3.3","3.5","","2.1","2.5","3.6","2.0"
"Visitors from US East","Grand Total","Daily spending ($)","dollar","165.60","171.06","180.93","192.37","198.92","204.86","197.77","201.70","208.38","210.17","212.59","","212.50","252.14","262.56","264.64"
"Maui visitors","Grand Total","Daily spending ($)","dollar","","172.05","173.67","185.51","190.35","201.20","197.56","210.91","212.18","212.57","211.70","","201.89","244.32","287.08","283.40"
"Visitors from US East","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Maui visitors","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from US East","Total Food and beverage","Daily spending ($)","dollar","35.94","37.97","40.75","41.65","41.50","42.10","40.04","40.68","42.39","42.08","43.16","","44.50","48.88","51.63","52.73"
"Maui visitors","Total Food and beverage","Daily spending ($)","dollar","","36.60","37.35","37.84","37.72","41.04","40.05","42.72","42.93","42.03","42.81","","41.20","46.16","55.86","59.42"
"Visitors from US East","Total Food and beverage","% of total spending","percent","21.7","22.2","22.5","21.7","20.9","20.6","20.2","20.2","20.3","20.0","20.3","","20.9","19.4","19.7","19.9"
"Maui visitors","Total Food and beverage","% of total spending","percent","","21.3","21.5","20.4","19.8","20.4","20.3","20.3","20.2","19.8","20.2","","20.4","18.9","19.5","21.0"
"Visitors from US East","Restaurant food","Daily spending ($)","dollar","25.17","27.01","29.18","30.32","29.69","29.51","27.32","27.66","28.87","28.35","29.35","","30.10","32.95","34.54","35.36"
"Maui visitors","Restaurant food","Daily spending ($)","dollar","","23.84","24.26","24.40","24.16","26.45","25.45","27.44","27.20","26.98","27.84","","26.77","29.36","34.65","38.20"
"Visitors from US East","Restaurant food","% of total spending","percent","15.2","15.8","16.1","15.8","14.9","14.4","13.8","13.7","13.9","13.5","13.8","","14.2","13.1","13.2","13.4"
"Maui visitors","Restaurant food","% of total spending","percent","","13.9","14.0","13.2","12.7","13.1","12.9","13.0","12.8","12.7","13.2","","13.3","12.0","12.1","13.5"
"Visitors from US East","Dinner shows and cruises","Daily spending ($)","dollar","3.95","4.26","4.40","4.36","4.27","4.67","4.49","4.76","5.24","5.45","5.38","","5.00","6.11","6.90","6.32"
"Maui visitors","Dinner shows and cruises","Daily spending ($)","dollar","","4.12","4.17","3.95","3.56","4.64","4.34","4.81","5.04","4.89","5.08","","4.31","5.80","7.17","6.27"
"Visitors from US East","Dinner shows and cruises","% of total spending","percent","2.4","2.5","2.4","2.3","2.1","2.3","2.3","2.4","2.5","2.6","2.5","","2.4","2.4","2.6","2.4"
"Maui visitors","Dinner shows and cruises","% of total spending","percent","","2.4","2.4","2.1","1.9","2.3","2.2","2.3","2.4","2.3","2.4","","2.1","2.4","2.5","2.2"
"Visitors from US East","Groceries and snacks","Daily spending ($)","dollar","6.82","6.69","7.17","6.97","7.54","7.92","8.23","8.25","8.29","8.28","8.43","","9.50","9.82","10.19","11.05"
"Maui visitors","Groceries and snacks","Daily spending ($)","dollar","","8.64","8.92","9.49","9.99","9.95","10.26","10.47","10.69","10.16","9.89","","10.12","11.00","14.04","14.94"
"Visitors from US East","Groceries and snacks","% of total spending","percent","4.1","3.9","4.0","3.6","3.8","3.9","4.2","4.1","4.0","3.9","4.0","","4.5","3.9","3.9","4.2"
"Maui visitors","Groceries and snacks","% of total spending","percent","","5.0","5.1","5.1","5.3","4.9","5.2","5.0","5.0","4.8","4.7","","5.0","4.5","4.9","5.3"
"Visitors from US East","Total Entertainment & Recreation","Daily spending ($)","dollar","18.06","17.57","18.74","19.12","19.29","20.66","19.51","20.31","21.76","22.14","21.85","","21.80","26.30","26.90","26.93"
"Maui visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","16.55","16.54","16.43","14.53","17.57","16.25","17.42","17.82","17.91","17.38","","15.88","20.19","23.73","23.53"
"Visitors from US East","Total Entertainment & Recreation","% of total spending","percent","10.9","10.3","10.4","9.9","9.7","10.1","9.9","10.1","10.4","10.5","10.3","","10.3","10.4","10.2","10.2"
"Maui visitors","Total Entertainment & Recreation","% of total spending","percent","","9.6","9.5","8.9","7.6","8.7","8.2","8.3","8.4","8.4","8.2","","7.9","8.3","8.3","8.3"
"Visitors from US East","Attractions/entertainment","Daily spending ($)","dollar","","","","","","5.75","5.57","5.49","6.01","6.41","6.28","","5.50","7.01","7.76","7.47"
"Maui visitors","Attractions/entertainment","Daily spending ($)","dollar","","","","","","","","","","","","","","","5.12","5.00"
"Visitors from US East","Attractions/entertainment","% of total spending","percent","","","","","","2.8","2.8","2.7","2.9","3.1","3.0","","2.6","2.8","3.0","2.8"
"Maui visitors","Attractions/entertainment","% of total spending","percent","","","","","","","","","","","","","","","1.8","1.8"
"Visitors from US East","Recreation","Daily spending ($)","dollar","","","","","","7.40","6.65","7.10","7.52","7.15","7.55","","8.70","9.48","9.29","9.68"
"Maui visitors","Recreation","Daily spending ($)","dollar","","","","","","","","","","","","","","","10.69","10.47"
"Visitors from US East","Recreation","% of total spending","percent","","","","","","3.6","3.4","3.5","3.6","3.4","3.6","","4.1","3.8","3.5","3.7"
"Maui visitors","Recreation","% of total spending","percent","","","","","","","","","","","","","","","3.7","3.7"
"Visitors from US East","Other activities & tours","Daily spending ($)","dollar","","","","","","7.51","7.28","7.71","8.23","8.57","8.02","","7.60","9.80","9.85","9.77"
"Maui visitors","Other activities & tours","Daily spending ($)","dollar","","","","","","","","","","","","","","","7.92","8.06"
"Visitors from US East","Other activities & tours","% of total spending","percent","","","","","","3.7","3.7","3.8","4.0","4.1","3.8","","3.6","3.9","3.8","3.7"
"Maui visitors","Other activities & tours","% of total spending","percent","","","","","","","","","","","","","","","2.8","2.8"
"Visitors from US East","Total Transportation","Daily spending ($)","dollar","18.95","20.63","20.32","21.49","20.79","20.88","20.09","22.01","23.22","23.28","22.10","","25.90","27.31","24.31","24.35"
"Maui visitors","Total Transportation","Daily spending ($)","dollar","","18.65","18.64","20.08","20.69","19.80","19.64","22.37","23.56","24.71","21.78","","23.69","26.52","26.03","24.95"
"Visitors from US East","Total Transportation","% of total spending","percent","11.4","12.1","11.2","11.2","10.5","10.2","10.2","10.9","11.1","11.1","10.4","","12.2","10.8","9.3","9.2"
"Maui visitors","Total Transportation","% of total spending","percent","","10.8","10.7","10.8","10.9","9.8","9.9","10.6","11.1","11.6","10.3","","11.7","10.9","9.1","8.8"
"Visitors from US East","Interisland airfare","Daily spending ($)","dollar","3.65","4.53","3.65","4.24","3.89","4.14","3.85","4.89","4.81","4.45","3.76","","1.90","2.53","2.80","3.42"
"Maui visitors","Interisland airfare","Daily spending ($)","dollar","","2.34","2.18","2.42","2.31","2.76","2.62","3.51","4.07","4.02","2.30","","0.89","1.56","1.64","2.02"
"Visitors from US East","Interisland airfare","% of total spending","percent","2.2","2.6","2.0","2.2","2.0","2.0","1.9","2.4","2.3","2.1","1.8","","0.9","1.0","1.1","1.3"
"Maui visitors","Interisland airfare","% of total spending","percent","","1.4","1.3","1.3","1.2","1.4","1.3","1.7","1.9","1.9","1.1","","0.4","0.6","0.6","0.7"
"Visitors from US East","Ground transportation","Daily spending ($)","dollar","0.98","1.00","0.98","0.99","1.08","0.95","0.96","1.08","1.10","1.13","1.24","","1.70","1.52","1.64","1.86"
"Maui visitors","Ground transportation","Daily spending ($)","dollar","","0.59","0.58","0.65","0.72","0.65","0.60","0.64","0.70","0.75","0.68","","0.94","0.93","1.05","1.13"
"Visitors from US East","Ground transportation","% of total spending","percent","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","","0.8","0.6","0.6","0.7"
"Maui visitors","Ground transportation","% of total spending","percent","","0.3","0.3","0.3","0.4","0.3","0.3","0.3","0.3","0.4","0.3","","0.5","0.4","0.4","0.4"
"Visitors from US East","Rental vehicles","Daily spending ($)","dollar","12.65","13.25","13.73","14.33","14.12","14.13","13.87","14.73","15.90","16.16","15.53","","20.90","21.60","18.33","17.51"
"Maui visitors","Rental vehicles","Daily spending ($)","dollar","","14.29","14.32","15.48","16.27","14.84","15.30","17.09","17.65","18.64","17.62","","20.75","22.61","21.82","20.42"
"Visitors from US East","Rental vehicles","% of total spending","percent","7.6","7.7","7.6","7.5","7.1","6.9","7.0","7.3","7.6","7.7","7.3","","9.8","8.6","7.0","6.6"
"Maui visitors","Rental vehicles","% of total spending","percent","","8.3","8.2","8.3","8.5","7.4","7.7","8.1","8.3","8.8","8.3","","10.3","9.3","7.6","7.2"
"Visitors from US East","Gasoline, parking, etc.","Daily spending ($)","dollar","1.66","1.86","1.95","1.93","1.70","1.66","1.42","1.30","1.41","1.54","1.57","","1.50","1.66","1.54","1.56"
"Maui visitors","Gasoline, parking, etc.","Daily spending ($)","dollar","","1.44","1.56","1.52","1.39","1.54","1.12","1.13","1.14","1.30","1.18","","1.11","1.42","1.52","1.39"
"Visitors from US East","Gasoline, parking, etc.","% of total spending","percent","1.0","1.1","1.1","1.0","0.9","0.8","0.7","0.6","0.7","0.7","0.7","","0.7","0.7","0.6","0.6"
"Maui visitors","Gasoline, parking, etc.","% of total spending","percent","","0.8","0.9","0.8","0.7","0.8","0.6","0.5","0.5","0.6","0.6","","0.5","0.6","0.5","0.5"
"Visitors from US East","Total Shopping","Daily spending ($)","dollar","19.47","18.94","19.82","19.70","19.33","19.38","18.62","18.50","19.36","18.77","18.89","","20.30","22.34","22.85","21.92"
"Maui visitors","Total Shopping","Daily spending ($)","dollar","","18.25","18.60","18.06","16.90","18.82","17.64","17.86","17.59","17.33","18.15","","16.73","17.81","21.11","21.84"
"Visitors from US East","Total Shopping","% of total spending","percent","11.8","11.1","11.0","10.2","9.7","9.5","9.4","9.2","9.3","8.9","8.9","","9.6","8.9","8.7","8.3"
"Maui visitors","Total Shopping","% of total spending","percent","","10.6","10.7","9.7","8.9","9.4","8.9","8.5","8.3","8.2","8.6","","8.3","7.3","7.4","7.7"
"Visitors from US East","Fashion and clothing","Daily spending ($)","dollar","6.86","6.99","7.04","6.92","7.01","6.91","6.72","6.70","6.93","6.70","7.12","","7.80","8.11","8.51","7.84"
"Maui visitors","Fashion and clothing","Daily spending ($)","dollar","","7.19","7.45","7.32","7.49","7.91","7.06","7.33","7.20","6.76","7.43","","6.61","7.31","8.59","9.28"
"Visitors from US East","Fashion and clothing","% of total spending","percent","4.1","4.1","3.9","3.6","3.5","3.4","3.4","3.3","3.3","3.2","3.4","","3.7","3.2","3.2","3.0"
"Maui visitors","Fashion and clothing","% of total spending","percent","","4.2","4.3","3.9","3.9","3.9","3.6","3.5","3.4","3.2","3.5","","3.3","3.0","3.0","3.3"
"Visitors from US East","Jewelry and watches","Daily spending ($)","dollar","4.31","3.95","4.29","4.32","4.01","3.82","3.24","3.14","3.46","3.09","2.82","","2.80","3.29","3.10","3.21"
"Maui visitors","Jewelry and watches","Daily spending ($)","dollar","","4.19","4.20","3.76","3.49","3.70","3.54","2.91","3.20","3.19","2.96","","2.50","2.48","2.91","3.52"
"Visitors from US East","Jewelry and watches","% of total spending","percent","2.6","2.3","2.4","2.2","2.0","1.9","1.6","1.6","1.7","1.5","1.3","","1.3","1.3","1.2","1.2"
"Maui visitors","Jewelry and watches","% of total spending","percent","","2.4","2.4","2.0","1.8","1.8","1.8","1.4","1.5","1.5","1.4","","1.2","1.0","1.0","1.2"
"Visitors from US East","Cosmetics, perfume","Daily spending ($)","dollar","0.24","0.21","0.31","0.27","0.28","0.39","0.43","0.40","0.59","0.73","0.37","","0.30","0.49","0.62","0.70"
"Maui visitors","Cosmetics, perfume","Daily spending ($)","dollar","","0.21","0.24","0.24","0.23","0.54","0.53","0.50","0.48","0.51","0.44","","0.19","0.23","0.25","0.21"
"Visitors from US East","Cosmetics, perfume","% of total spending","percent","0.1","0.1","0.2","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.2","","0.1","0.2","0.2","0.3"
"Maui visitors","Cosmetics, perfume","% of total spending","percent","","0.1","0.1","0.1","0.1","0.3","0.3","0.2","0.2","0.2","0.2","","0.1","0.1","0.1","0.1"
"Visitors from US East","Leather goods","Daily spending ($)","dollar","0.59","0.47","0.68","0.50","0.56","0.67","0.49","0.72","0.66","0.77","0.85","","1.40","1.69","1.37","0.96"
"Maui visitors","Leather goods","Daily spending ($)","dollar","","0.53","0.62","0.52","0.36","0.70","0.68","0.90","0.71","0.74","1.07","","1.75","1.15","1.53","1.42"
"Visitors from US East","Leather goods","% of total spending","percent","0.4","0.3","0.4","0.3","0.3","0.3","0.2","0.4","0.3","0.4","0.4","","0.7","0.7","0.5","0.4"
"Maui visitors","Leather goods","% of total spending","percent","","0.3","0.4","0.3","0.2","0.3","0.3","0.4","0.3","0.3","0.5","","0.9","0.5","0.5","0.5"
"Visitors from US East","Hawaii food products","Daily spending ($)","dollar","2.12","2.09","2.10","2.32","2.45","2.58","2.66","2.70","2.77","2.82","2.81","","2.80","3.13","3.34","3.46"
"Maui visitors","Hawaii food products","Daily spending ($)","dollar","","1.71","1.67","1.78","1.72","2.06","2.00","2.04","2.08","2.18","2.24","","2.05","2.34","2.78","2.92"
"Visitors from US East","Hawaii food products","% of total spending","percent","1.3","1.2","1.2","1.2","1.2","1.3","1.3","1.3","1.3","1.3","1.3","","1.3","1.2","1.3","1.3"
"Maui visitors","Hawaii food products","% of total spending","percent","","1.0","1.0","1.0","0.9","1.0","1.0","1.0","1.0","1.0","1.1","","1.0","1.0","1.0","1.0"
"Visitors from US East","Souvenirs","Daily spending ($)","dollar","5.35","5.23","5.40","5.37","5.01","5.01","5.09","4.85","4.95","4.66","4.92","","5.20","5.63","5.91","5.75"
"Maui visitors","Souvenirs","Daily spending ($)","dollar","","4.42","4.43","4.44","3.62","3.90","3.82","4.18","3.91","3.95","4.03","","3.64","4.30","5.06","4.49"
"Visitors from US East","Souvenirs","% of total spending","percent","3.2","3.1","3.0","2.8","2.5","2.4","2.6","2.4","2.4","2.2","2.3","","2.4","2.2","2.2","2.2"
"Maui visitors","Souvenirs","% of total spending","percent","","2.6","2.6","2.4","1.9","1.9","1.9","2.0","1.8","1.9","1.9","","1.8","1.8","1.8","1.6"
"Visitors from US East","Lodging","Daily spending ($)","dollar","64.15","66.54","72.06","80.34","87.01","91.15","87.41","89.63","89.58","92.64","95.39","","96.20","117.91","121.89","123.87"
"Maui visitors","Lodging","Daily spending ($)","dollar","","73.80","76.64","87.08","93.61","97.02","96.48","103.69","102.90","104.06","104.81","","101.37","127.95","151.12","149.92"
"Visitors from US East","Lodging","% of total spending","percent","38.7","38.9","39.8","41.8","43.7","44.5","44.2","44.4","43.0","44.1","44.9","","45.3","46.8","46.4","46.8"
"Maui visitors","Lodging","% of total spending","percent","","42.9","44.1","46.9","49.2","48.2","48.8","49.2","48.5","49.0","49.5","","50.2","52.4","52.6","52.9"
"Visitors from US East","All other expenses","Daily spending ($)","dollar","9.03","9.40","9.24","10.07","11.00","10.69","12.10","10.57","12.08","11.26","11.20","","3.70","9.41","14.98","14.84"
"Maui visitors","All other expenses","Daily spending ($)","dollar","","8.19","5.90","6.03","6.90","6.95","7.51","6.85","7.38","6.52","6.77","","3.02","5.68","9.22","3.74"
"Visitors from US East","All other expenses","% of total spending","percent","5.5","5.5","5.1","5.2","5.5","5.2","6.1","5.2","5.8","5.4","5.3","","1.7","3.7","5.7","5.6"
"Maui visitors","All other expenses","% of total spending","percent","","4.8","3.4","3.2","3.6","3.5","3.8","3.2","3.5","3.1","3.2","","1.5","2.3","3.2","1.3"
"Visitors from Japan","Grand Total","Daily spending ($)","dollar","268.33","261.07","289.12","310.10","275.74","273.39","236.33","240.30","237.82","241.18","241.58","","220.90","235.42","240.72","239.56"
"Molokai visitors","Grand Total","Daily spending ($)","dollar","","97.62","109.05","109.53","113.82","122.32","117.98","115.25","124.07","143.26","125.97","","138.04","152.81","188.28","175.46"
"Visitors from Japan","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Molokai visitors","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Japan","Total Food and beverage","Daily spending ($)","dollar","42.98","42.80","45.51","49.99","49.56","50.67","49.90","50.45","50.52","50.06","51.16","","51.50","57.42","59.47","60.90"
"Molokai visitors","Total Food and beverage","Daily spending ($)","dollar","","17.07","17.80","21.92","21.20","22.93","21.88","21.05","25.55","26.38","22.34","","27.44","21.93","21.07","30.95"
"Visitors from Japan","Total Food and beverage","% of total spending","percent","16.0","16.4","15.7","16.1","18.0","18.5","21.1","21.0","21.2","20.8","21.2","","23.3","24.4","24.7","25.4"
"Molokai visitors","Total Food and beverage","% of total spending","percent","","17.5","16.3","20.0","18.6","18.7","18.5","18.3","20.6","18.4","17.7","","19.9","14.4","11.2","17.6"
"Visitors from Japan","Restaurant food","Daily spending ($)","dollar","30.06","30.01","32.57","37.32","36.72","37.72","37.26","37.55","37.74","37.18","38.21","","33.50","39.92","43.41","45.10"
"Molokai visitors","Restaurant food","Daily spending ($)","dollar","","7.07","6.31","8.68","9.78","10.73","10.45","7.89","11.94","10.38","12.47","","10.06","5.54","8.72","14.19"
"Visitors from Japan","Restaurant food","% of total spending","percent","11.2","11.5","11.3","12.0","13.3","13.8","15.8","15.6","15.9","15.4","15.8","","15.2","17.0","18.0","18.8"
"Molokai visitors","Restaurant food","% of total spending","percent","","7.2","5.8","7.9","8.6","8.8","8.9","6.8","9.6","7.2","9.9","","7.3","3.6","4.6","8.1"
"Visitors from Japan","Dinner shows and cruises","Daily spending ($)","dollar","4.75","4.68","4.69","4.63","4.37","4.37","3.92","3.98","3.69","3.80","3.72","","1.10","3.25","3.69","3.79"
"Molokai visitors","Dinner shows and cruises","Daily spending ($)","dollar","","0.85","0.58","0.42","0.04","0.15","0.05","0.37","0.35","2.86","0.10","","0.04","0.04","0.60","0.82"
"Visitors from Japan","Dinner shows and cruises","% of total spending","percent","1.8","1.8","1.6","1.5","1.6","1.6","1.7","1.7","1.6","1.6","1.5","","0.5","1.4","1.5","1.6"
"Molokai visitors","Dinner shows and cruises","% of total spending","percent","","0.9","0.5","0.4","0.0","0.1","0.0","0.3","0.3","2.0","0.1","","0.0","0.0","0.3","0.5"
"Visitors from Japan","Groceries and snacks","Daily spending ($)","dollar","8.17","8.11","8.25","8.04","8.47","8.58","8.73","8.92","9.08","9.06","9.19","","16.90","14.21","12.37","12.02"
"Molokai visitors","Groceries and snacks","Daily spending ($)","dollar","","9.16","10.91","12.82","11.42","12.05","11.38","12.80","13.26","13.14","9.77","","17.38","16.39","11.75","15.94"
"Visitors from Japan","Groceries and snacks","% of total spending","percent","3.0","3.1","2.9","2.6","3.1","3.1","3.7","3.7","3.8","3.8","3.8","","7.7","6.0","5.1","5.0"
"Molokai visitors","Groceries and snacks","% of total spending","percent","","9.4","10.0","11.7","10.0","9.8","9.6","11.1","10.7","9.2","7.8","","12.6","10.7","6.2","9.1"
"Visitors from Japan","Total Entertainment & Recreation","Daily spending ($)","dollar","20.72","19.46","19.60","19.94","18.96","19.11","18.75","18.98","18.90","18.10","19.02","","11.20","15.67","17.38","17.21"
"Molokai visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","4.57","7.26","6.63","10.58","11.56","7.50","10.57","11.97","14.02","8.65","","12.21","5.64","10.16","9.94"
"Visitors from Japan","Total Entertainment & Recreation","% of total spending","percent","7.7","7.5","6.8","6.4","6.9","7.0","7.9","7.9","7.9","7.5","7.9","","5.1","6.7","7.2","7.2"
"Molokai visitors","Total Entertainment & Recreation","% of total spending","percent","","4.7","6.7","6.1","9.3","9.5","6.4","9.2","9.6","9.8","6.9","","8.8","3.7","5.4","5.7"
"Visitors from Japan","Attractions/entertainment","Daily spending ($)","dollar","","","","","","4.88","5.96","5.98","5.74","5.58","6.60","","2.90","4.44","4.68","4.97"
"Molokai visitors","Attractions/entertainment","Daily spending ($)","dollar","","","","","","","","","","","","","","","4.73","1.23"
"Visitors from Japan","Attractions/entertainment","% of total spending","percent","","","","","","1.8","2.5","2.5","2.4","2.3","2.7","","1.3","1.9","1.9","2.1"
"Molokai visitors","Attractions/entertainment","% of total spending","percent","","","","","","","","","","","","","","","2.5","0.7"
"Visitors from Japan","Recreation","Daily spending ($)","dollar","","","","","","4.19","4.04","4.14","4.43","4.17","3.61","","6.30","5.62","4.99","4.33"
"Molokai visitors","Recreation","Daily spending ($)","dollar","","","","","","","","","","","","","","","4.74","4.86"
"Visitors from Japan","Recreation","% of total spending","percent","","","","","","1.5","1.7","1.7","1.9","1.7","1.5","","2.9","2.4","2.1","1.8"
"Molokai visitors","Recreation","% of total spending","percent","","","","","","","","","","","","","","","2.5","2.8"
"Visitors from Japan","Other activities & tours","Daily spending ($)","dollar","","","","","","10.04","8.74","8.86","8.73","8.35","8.82","","2.10","5.61","7.72","7.91"
"Molokai visitors","Other activities & tours","Daily spending ($)","dollar","","","","","","","","","","","","","","","0.69","3.86"
"Visitors from Japan","Other activities & tours","% of total spending","percent","","","","","","3.7","3.7","3.7","3.7","3.5","3.7","","1.0","2.4","3.2","3.3"
"Molokai visitors","Other activities & tours","% of total spending","percent","","","","","","","","","","","","","","","0.4","2.2"
"Visitors from Japan","Total Transportation","Daily spending ($)","dollar","10.50","10.59","11.27","11.07","12.48","12.20","12.05","12.28","12.86","12.31","11.97","","15.60","16.49","13.84","12.98"
"Molokai visitors","Total Transportation","Daily spending ($)","dollar","","15.53","21.95","17.98","21.49","26.19","31.96","24.91","26.40","35.79","31.20","","37.97","31.05","34.33","39.49"
"Visitors from Japan","Total Transportation","% of total spending","percent","3.9","4.1","3.9","3.6","4.5","4.5","5.1","5.1","5.4","5.1","5.0","","7.1","7.0","5.7","5.4"
"Molokai visitors","Total Transportation","% of total spending","percent","","15.9","20.1","16.4","18.9","21.4","27.1","21.6","21.3","25.0","24.8","","27.5","20.3","18.2","22.5"
"Visitors from Japan","Interisland airfare","Daily spending ($)","dollar","2.30","2.12","2.39","2.48","2.39","2.09","1.97","1.96","2.01","1.71","1.44","","0.70","1.17","1.03","1.15"
"Molokai visitors","Interisland airfare","Daily spending ($)","dollar","","8.40","11.25","6.11","14.15","10.50","9.64","7.80","9.69","16.84","11.14","","6.58","6.48","7.17","10.09"
"Visitors from Japan","Interisland airfare","% of total spending","percent","0.9","0.8","0.8","0.8","0.9","0.8","0.8","0.8","0.8","0.7","0.6","","0.3","0.5","0.4","0.5"
"Molokai visitors","Interisland airfare","% of total spending","percent","","8.6","10.3","5.6","12.4","8.6","8.2","6.8","7.8","11.8","8.8","","4.8","4.2","3.8","5.8"
"Visitors from Japan","Ground transportation","Daily spending ($)","dollar","4.67","4.57","4.75","4.66","6.12","6.25","5.80","5.97","5.87","5.74","6.07","","3.80","5.67","6.17","6.14"
"Molokai visitors","Ground transportation","Daily spending ($)","dollar","","0.33","0.09","0.16","1.71","1.63","0.95","0.43","0.61","0.82","0.45","","0.90","0.58","0.57","2.59"
"Visitors from Japan","Ground transportation","% of total spending","percent","1.7","1.7","1.6","1.5","2.2","2.3","2.5","2.5","2.5","2.4","2.5","","1.7","2.4","2.6","2.6"
"Molokai visitors","Ground transportation","% of total spending","percent","","0.3","0.1","0.1","1.5","1.3","0.8","0.4","0.5","0.6","0.4","","0.6","0.4","0.3","1.5"
"Visitors from Japan","Rental vehicles","Daily spending ($)","dollar","3.14","3.47","3.67","3.53","3.55","3.46","3.88","4.00","4.46","4.38","4.02","","9.50","8.46","5.83","5.05"
"Molokai visitors","Rental vehicles","Daily spending ($)","dollar","","6.20","7.87","11.02","5.10","12.01","19.93","15.47","14.54","16.95","18.79","","30.10","23.21","26.05","24.35"
